motif_name	tf
AT2G31460(REMB3)/col-AT2G31460-DAP-Seq(GSE60143)/Homer	AT2G31460
AT2G33550(Trihelix)/colamp-AT2G33550-DAP-Seq(GSE60143)/Homer	AT2G33550
At2g33710(AP2EREBP)/colamp-At2g33710-DAP-Seq(GSE60143)/Homer	AT2G33710
AT2G38300(G2like)/col-AT2G38300-DAP-Seq(GSE60143)/Homer	AT2G38300
AT2G40260(G2like)/colamp-AT2G40260-DAP-Seq(GSE60143)/Homer	AT2G40260
At2g41835(C2H2)/col-At2g41835-DAP-Seq(GSE60143)/Homer	AT2G41835
At2g44940(AP2EREBP)/colamp-At2g44940-DAP-Seq(GSE60143)/Homer	AT2G44940
At2g45680(TCP)/colamp-At2g45680-DAP-Seq(GSE60143)/Homer	AT2G45680
At3g04030(G2like)/col-At3g04030-DAP-Seq(GSE60143)/Homer	AT3G04030
At3g09600(MYBrelated)/colamp-At3g09600-DAP-Seq(GSE60143)/Homer	AT3G09600
AT3G09735(S1Falike)/col-AT3G09735-DAP-Seq(GSE60143)/Homer	AT3G09735
AT3G10030(Trihelix)/colamp-AT3G10030-DAP-Seq(GSE60143)/Homer	AT3G10030
AT3G10113(MYBrelated)/col-AT3G10113-DAP-Seq(GSE60143)/Homer	AT3G10113
AT3G10580(MYBrelated)/colamp-AT3G10580-DAP-Seq(GSE60143)/Homer	AT3G10580
At3g11280(MYBrelated)/col-At3g11280-DAP-Seq(GSE60143)/Homer	AT3G11280
AT3G12130(C3H)/colamp-AT3G12130-DAP-Seq(GSE60143)/Homer	AT3G12130
At3g12730(G2like)/colamp-At3g12730-DAP-Seq(GSE60143)/Homer	AT3G12730
AT3G16280(AP2EREBP)/colamp-AT3G16280-DAP-Seq(GSE60143)/Homer	AT3G16280
At3g24120(G2like)/col-At3g24120-DAP-Seq(GSE60143)/Homer	AT3G24120
AT3G25990(Trihelix)/colamp-AT3G25990-DAP-Seq(GSE60143)/Homer	AT3G25990
AT3G42860(zfGRF)/col-AT3G42860-DAP-Seq(GSE60143)/Homer	AT3G42860
At3g45610(C2C2dof)/col-At3g45610-DAP-Seq(GSE60143)/Homer	AT3G45610
AT3G51470(DBP)/col-AT3G51470-DAP-Seq(GSE60143)/Homer	AT3G51470
AT3G52440(C2C2dof)/colamp-AT3G52440-DAP-Seq(GSE60143)/Homer	AT3G52440
AT3G57600(AP2EREBP)/col-AT3G57600-DAP-Seq(GSE60143)/Homer	AT3G57600
AT3G58630(Trihelix)/col-AT3G58630-DAP-Seq(GSE60143)/Homer	AT3G58630
AT3G60490(AP2EREBP)/colamp-AT3G60490-DAP-Seq(GSE60143)/Homer	AT3G60490
At3g60580(C2H2)/col-At3g60580-DAP-Seq(GSE60143)/Homer	AT3G60580
AT4G00250(GeBP)/col-AT4G00250-DAP-Seq(GSE60143)/Homer	AT4G00250
At4g01280(MYBrelated)/colamp-At4g01280-DAP-Seq(GSE60143)/Homer	AT4G01280
AT4G12670(MYBrelated)/col-AT4G12670-DAP-Seq(GSE60143)/Homer	AT4G12670
At4g16750(AP2EREBP)/col-At4g16750-DAP-Seq(GSE60143)/Homer	AT4G16750
AT4G18450(AP2EREBP)/col-AT4G18450-DAP-Seq(GSE60143)/Homer	AT4G18450
At4g18890(BZR)/col-At4g18890-DAP-Seq(GSE60143)/Homer	AT4G18890
AT4G26030(C2H2)/col-AT4G26030-DAP-Seq(GSE60143)/Homer	AT4G26030
AT4G27900(C2C2COlike)/col-AT4G27900-DAP-Seq(GSE60143)/Homer	AT4G27900
At4g28140(AP2EREBP)/colamp-At4g28140-DAP-Seq(GSE60143)/Homer	AT4G28140
At4g31060(AP2EREBP)/colamp-At4g31060-DAP-Seq(GSE60143)/Homer	AT4G31060
At4g32800(AP2EREBP)/colamp-At4g32800-DAP-Seq(GSE60143)/Homer	AT4G32800
At4g36780(BZR)/col-At4g36780-DAP-Seq(GSE60143)/Homer	AT4G36780
AT4G37180(G2like)/col-AT4G37180-DAP-Seq(GSE60143)/Homer	AT4G37180
At4g38000(C2C2dof)/col-At4g38000-DAP-Seq(GSE60143)/Homer	AT4G38000
AT5G02460(C2C2dof)/col-AT5G02460-DAP-Seq(GSE60143)/Homer	AT5G02460
At5g04390(C2H2)/col200-At5g04390-DAP-Seq(GSE60143)/Homer	AT5G04390
AT5G05550(Trihelix)/col-AT5G05550-DAP-Seq(GSE60143)/Homer	AT5G05550
At5g05790(MYBrelated)/col-At5g05790-DAP-Seq(GSE60143)/Homer	AT5G05790
At5g08330(TCP)/col-At5g08330-DAP-Seq(GSE60143)/Homer	AT5G08330
At5g08520(MYBrelated)/colamp-At5g08520-DAP-Seq(GSE60143)/Homer	AT5G08520
At5g08750(C3H)/col-At5g08750-DAP-Seq(GSE60143)/Homer	AT5G08750
At5g18450(AP2EREBP)/col-At5g18450-DAP-Seq(GSE60143)/Homer	AT5G18450
At5g22890(C2H2)/col-At5g22890-DAP-Seq(GSE60143)/Homer	AT5G22890
AT5G22990(C2H2)/col-AT5G22990-DAP-Seq(GSE60143)/Homer	AT5G22990
AT5G23930(mTERF)/col-AT5G23930-DAP-Seq(GSE60143)/Homer	AT5G23930
AT5G25475(ABI3VP1)/col-AT5G25475-DAP-Seq(GSE60143)/Homer	AT5G25475
At5g29000(G2like)/col-At5g29000-DAP-Seq(GSE60143)/Homer	AT5G29000
AT5G45580(G2like)/colamp-AT5G45580-DAP-Seq(GSE60143)/Homer	AT5G45580
At5g47390(MYBrelated)/col-At5g47390-DAP-Seq(GSE60143)/Homer	AT5G47390
AT5G47660(Trihelix)/colamp-AT5G47660-DAP-Seq(GSE60143)/Homer	AT5G47660
At5g52660(MYBrelated)/colamp-At5g52660-DAP-Seq(GSE60143)/Homer	AT5G52660
AT5G56840(MYBrelated)/colamp-AT5G56840-DAP-Seq(GSE60143)/Homer	AT5G56840
At5g58900(MYBrelated)/colamp-At5g58900-DAP-Seq(GSE60143)/Homer	AT5G58900
AT5G59990(C2C2COlike)/colamp-AT5G59990-DAP-Seq(GSE60143)/Homer	AT5G59990
AT5G60130(ABI3VP1)/col-AT5G60130-DAP-Seq(GSE60143)/Homer	AT5G60130
AT5G61620(MYBrelated)/colamp-AT5G61620-DAP-Seq(GSE60143)/Homer	AT5G61620
At5g62940(C2C2dof)/col-At5g62940-DAP-Seq(GSE60143)/Homer	AT5G62940
AT5G63260(C3H)/col-AT5G63260-DAP-Seq(GSE60143)/Homer	AT5G63260
At5g65130(AP2EREBP)/colamp-At5g65130-DAP-Seq(GSE60143)/Homer	AT5G65130
At5g66730(C2H2)/colamp-At5g66730-DAP-Seq(GSE60143)/Homer	AT5G66730
AT5G66940(C2C2dof)/col-AT5G66940-DAP-Seq(GSE60143)/Homer	AT5G66940
ATAF1(NAC)/col-ATAF1-DAP-Seq(GSE60143)/Homer	ATAF1
AtGRF6(GRF)/col-AtGRF6-DAP-Seq(GSE60143)/Homer	ATGRF6
ATHB13(Homeobox)/col-ATHB13-DAP-Seq(GSE60143)/Homer	ATHB13
ATHB15(HB)/col-ATHB15-DAP-Seq(GSE60143)/Homer	ATHB15
ATHB18(Homeobox)/colamp-ATHB18-DAP-Seq(GSE60143)/Homer	ATHB18
ATHB20(Homeobox)/colamp-ATHB20-DAP-Seq(GSE60143)/Homer	ATHB20
ATHB21(HB)/colamp-ATHB21-DAP-Seq(GSE60143)/Homer	ATHB21
ATHB23(ZFHD)/col-ATHB23-DAP-Seq(GSE60143)/Homer	ATHB23
ATHB24(ZFHD)/colamp-ATHB24-DAP-Seq(GSE60143)/Homer	ATHB24
ATHB25(ZFHD)/colamp-ATHB25-DAP-Seq(GSE60143)/Homer	ATHB25
AtHB32(ZFHD)/col200-AtHB32-DAP-Seq(GSE60143)/Homer	ATHB32
ATHB33(ZFHD)/col-ATHB33-DAP-Seq(GSE60143)/Homer	ATHB33
ATHB34(ZFHD)/colamp-ATHB34-DAP-Seq(GSE60143)/Homer	ATHB34
ATHB40(HB)/col-ATHB40-DAP-Seq(GSE60143)/Homer	ATHB40
ATHB5(HB)/colamp-ATHB5-DAP-Seq(GSE60143)/Homer	ATHB5
ATHB53(HB)/col-ATHB53-DAP-Seq(GSE60143)/Homer	ATHB53
ATHB6(Homeobox)/col-ATHB6-DAP-Seq(GSE60143)/Homer	ATHB6
ATHB7(Homeobox)/col-ATHB7-DAP-Seq(GSE60143)/Homer	ATHB7
AtIDD11(C2H2)/colamp-AtIDD11-DAP-Seq(GSE60143)/Homer	ATIDD11
ATY13(MYB)/col-ATY13-DAP-Seq(GSE60143)/Homer	ATY13
ATY19(MYB)/col-ATY19-DAP-Seq(GSE60143)/Homer	ATY19
AZF1(C2H2)/colamp-AZF1-DAP-Seq(GSE60143)/Homer	AZF1
BAM8(BES1)/col-BAM8-DAP-Seq(GSE60143)/Homer	BAM8
BBX31(Orphan)/col-BBX31-DAP-Seq(GSE60143)/Homer	BBX31
bHLH10(bHLH)/colamp-bHLH10-DAP-Seq(GSE60143)/Homer	BHLH10
bHLH122(bHLH)/col100-bHLH122-DAP-Seq(GSE60143)/Homer	BHLH122
bHLH130(bHLH)/col-bHLH130-DAP-Seq(GSE60143)/Homer	BHLH130
bHLH157(bHLH)/col-bHLH157-DAP-Seq(GSE60143)/Homer	BHLH157
bHLH18(bHLH)/col-bHLH18-DAP-Seq(GSE60143)/Homer	BHLH18
bHLH28(bHLH)/col-bHLH28-DAP-Seq(GSE60143)/Homer	BHLH28
bHLH34(bHLH)/colamp-bHLH34-DAP-Seq(GSE60143)/Homer	BHLH34
bHLH74(bHLH)/col-bHLH74-DAP-Seq(GSE60143)/Homer	BHLH74
bHLH80(bHLH)/col-bHLH80-DAP-Seq(GSE60143)/Homer	BHLH80
BIM1(bHLH)/colamp-BIM1-DAP-Seq(GSE60143)/Homer	BIM1
BIM2(bHLH)/col-BIM2-DAP-Seq(GSE60143)/Homer	BIM2
BIM3(bHLH)/col-BIM3-DAP-Seq(GSE60143)/Homer	BIM3
BOS1(MYB)/col-BOS1-DAP-Seq(GSE60143)/Homer	BOS1
BPC1(BBRBPC)/colamp-BPC1-DAP-Seq(GSE60143)/Homer	BPC1
BPC6(BBRBPC)/col-BPC6-DAP-Seq(GSE60143)/Homer	BPC6
bZIP16(bZIP)/colamp-bZIP16-DAP-Seq(GSE60143)/Homer	BZIP16
bZIP18(bZIP)/colamp-bZIP18-DAP-Seq(GSE60143)/Homer	BZIP18
bZIP28(bZIP)/col-bZIP28-DAP-Seq(GSE60143)/Homer	BZIP28
bZIP3(bZIP)/col-bZIP3-DAP-Seq(GSE60143)/Homer	BZIP3
bZIP42(bZIP)/colamp-bZIP42-DAP-Seq(GSE60143)/Homer	BZIP42
bZIP44(bZIP)/colamp-bZIP44-DAP-Seq(GSE60143)/Homer	BZIP44
bZIP48(bZIP)/colamp-bZIP48-DAP-Seq(GSE60143)/Homer	BZIP48
bZIP50(bZIP)/colamp-bZIP50-DAP-Seq(GSE60143)/Homer	BZIP50
bZIP52(bZIP)/colamp-bZIP52-DAP-Seq(GSE60143)/Homer	BZIP52
bZIP53(bZIP)/colamp-bZIP53-DAP-Seq(GSE60143)/Homer	BZIP53
bZIP68(bZIP)/col-bZIP68-DAP-Seq(GSE60143)/Homer	BZIP68
bZIP69(bZIP)/col-bZIP69-DAP-Seq(GSE60143)/Homer	BZIP69
BZR1(BZR)/col-BZR1-DAP-Seq(GSE60143)/Homer	BZR1
CAMTA1(CAMTA)/col-CAMTA1-DAP-Seq(GSE60143)/Homer	CAMTA1
CAMTA5(CAMTA)/col-CAMTA5-DAP-Seq(GSE60143)/Homer	CAMTA5
CBF1(AP2EREBP)/colamp-CBF1-DAP-Seq(GSE60143)/Homer	CBF1
CBF2(AP2EREBP)/colamp-CBF2-DAP-Seq(GSE60143)/Homer	CBF2
CBF3(AP2EREBP)/colamp-CBF3-DAP-Seq(GSE60143)/Homer	CBF3
CBF4(AP2EREBP)/colamp-CBF4-DAP-Seq(GSE60143)/Homer	CBF4
CCA(Myb)/Arabidopsis-CCA.GFP-ChIP-Seq(GSE70533)/Homer	CCA
CDF3(C2C2dof)/colamp-CDF3-DAP-Seq(GSE60143)/Homer	CDF3
CDM1(C3H)/colamp-CDM1-DAP-Seq(GSE60143)/Homer	CDM1
CEJ1(AP2EREBP)/col-CEJ1-DAP-Seq(GSE60143)/Homer	CEJ1
COG1(C2C2dof)/col-COG1-DAP-Seq(GSE60143)/Homer	COG1
CRC(C2C2YABBY)/col-CRC-DAP-Seq(GSE60143)/Homer	CRC
CRF10(AP2EREBP)/col100-CRF10-DAP-Seq(GSE60143)/Homer	CRF10
CRF4(AP2EREBP)/colamp-CRF4-DAP-Seq(GSE60143)/Homer	CRF4
CUC1(NAC)/col-CUC1-DAP-Seq(GSE60143)/Homer	CUC1
CUC2(NAC)/colamp-CUC2-DAP-Seq(GSE60143)/Homer	CUC2
CUC3(NAC)/col-CUC3-DAP-Seq(GSE60143)/Homer	CUC3
DAG2(C2C2dof)/col-DAG2-DAP-Seq(GSE60143)/Homer	DAG2
DDF1(AP2EREBP)/col-DDF1-DAP-Seq(GSE60143)/Homer	DDF1
DDF2(AP2EREBP)/col-DDF2-DAP-Seq(GSE60143)/Homer	DDF2
DEAR2(AP2EREBP)/colamp-DEAR2-DAP-Seq(GSE60143)/Homer	DEAR2
DEAR3(AP2EREBP)/colamp-DEAR3-DAP-Seq(GSE60143)/Homer	DEAR3
DEAR5(AP2EREBP)/col-DEAR5-DAP-Seq(GSE60143)/Homer	DEAR5
DEL1(E2FDP)/colamp-DEL1-DAP-Seq(GSE60143)/Homer	DEL1
DEL2(E2FDP)/col-DEL2-DAP-Seq(GSE60143)/Homer	DEL2
dof24(C2C2dof)/col-dof24-DAP-Seq(GSE60143)/Homer	DOF24
dof42(C2C2dof)/col-dof42-DAP-Seq(GSE60143)/Homer	DOF42
dof43(C2C2dof)/colamp-dof43-DAP-Seq(GSE60143)/Homer	DOF43
dof45(C2C2dof)/col-dof45-DAP-Seq(GSE60143)/Homer	DOF45
DREB19(AP2EREBP)/colamp-DREB19-DAP-Seq(GSE60143)/Homer	DREB19
DREB2(AP2EREBP)/col-DREB2-DAP-Seq(GSE60143)/Homer	DREB2
DREB26(AP2EREBP)/col-DREB26-DAP-Seq(GSE60143)/Homer	DREB26
E2FA(E2FDP)/colamp-E2FA-DAP-Seq(GSE60143)/Homer	E2FA
EIL4(EIL)/Tomato-EIL4-ChIP-Seq(GSE116581)/Homer	EIL4
EIN3(EIL)/col-EIN3-DAP-Seq(GSE60143)/Homer	EIN3
EMB1789(C3H)/col-EMB1789-DAP-Seq(GSE60143)/Homer	EMB1789
EPR1(MYBrelated)/colamp-EPR1-DAP-Seq(GSE60143)/Homer	EPR1
ERF1(AP2EREBP)/colamp-ERF1-DAP-Seq(GSE60143)/Homer	ERF1
ERF10(AP2EREBP)/col-ERF10-DAP-Seq(GSE60143)/Homer	ERF10
ERF104(AP2EREBP)/col-ERF104-DAP-Seq(GSE60143)/Homer	ERF104
ERF105(AP2EREBP)/colamp-ERF105-DAP-Seq(GSE60143)/Homer	ERF105
ERF11(AP2EREBP)/col-ERF11-DAP-Seq(GSE60143)/Homer	ERF11
ERF115(AP2EREBP)/colamp-ERF115-DAP-Seq(GSE60143)/Homer	ERF115
ERF13(AP2EREBP)/colamp-ERF13-DAP-Seq(GSE60143)/Homer	ERF13
ERF15(AP2EREBP)/colamp-ERF15-DAP-Seq(GSE60143)/Homer	ERF15
ERF2(AP2EREBP)/colamp-ERF2-DAP-Seq(GSE60143)/Homer	ERF2
ERF3(AP2EREBP)/colamp-ERF3-DAP-Seq(GSE60143)/Homer	ERF3
ERF38(AP2EREBP)/col-ERF38-DAP-Seq(GSE60143)/Homer	ERF38
ERF4(AP2EREBP)/colamp-ERF4-DAP-Seq(GSE60143)/Homer	ERF4
ERF5(AP2EREBP)/colamp-ERF5-DAP-Seq(GSE60143)/Homer	ERF5
ERF7(AP2EREBP)/col-ERF7-DAP-Seq(GSE60143)/Homer	ERF7
ERF73(AP2EREBP)/col-ERF73-DAP-Seq(GSE60143)/Homer	ERF73
ERF8(AP2EREBP)/colamp-ERF8-DAP-Seq(GSE60143)/Homer	ERF8
ERF9(AP2EREBP)/colamp-ERF9-DAP-Seq(GSE60143)/Homer	ERF9
ESE1(AP2EREBP)/col-ESE1-DAP-Seq(GSE60143)/Homer	ESE1
ESE3(AP2EREBP)/col-ESE3-DAP-Seq(GSE60143)/Homer	ESE3
FAR1(FAR1)/col-FAR1-DAP-Seq(GSE60143)/Homer	FAR1
FEA4(bZIP)/Corn-FEA4-ChIP-Seq(GSE61954)/Homer	FEA4
FHY3(FAR1)/Arabidopsis-FHY3-ChIP-Seq(GSE30711)/Homer	FHY3
FRS9(ND)/col-FRS9-DAP-Seq(GSE60143)/Homer	FRS9
FUS3(ABI3VP1)/col-FUS3-DAP-Seq(GSE60143)/Homer	FUS3
GAGA-repeat/Arabidopsis-Promoters/Homer	GAGA
GATA1(C2C2gata)/colamp-GATA1-DAP-Seq(GSE60143)/Homer	GATA1
GATA11(C2C2gata)/col-GATA11-DAP-Seq(GSE60143)/Homer	GATA11
GATA12(C2C2gata)/col-GATA12-DAP-Seq(GSE60143)/Homer	GATA12
GATA14(C2C2gata)/col-GATA14-DAP-Seq(GSE60143)/Homer	GATA14
GATA15(C2C2gata)/col-GATA15-DAP-Seq(GSE60143)/Homer	GATA15
GATA19(C2C2gata)/colamp-GATA19-DAP-Seq(GSE60143)/Homer	GATA19
GATA20(C2C2gata)/colamp-GATA20-DAP-Seq(GSE60143)/Homer	GATA20
GATA4(C2C2gata)/col-GATA4-DAP-Seq(GSE60143)/Homer	GATA4
GATA6(C2C2gata)/col200-GATA6-DAP-Seq(GSE60143)/Homer	GATA6
GBF3(bZIP)/Arabidopsis-GBF3-ChIP-Seq(GSE80564)/Homer	GBF3
GBF5(bZIP)/colamp-GBF5-DAP-Seq(GSE60143)/Homer	GBF5
GBF6(bZIP)/colamp-GBF6-DAP-Seq(GSE60143)/Homer	GBF6
GRF9(GRF)/colamp-GRF9-DAP-Seq(GSE60143)/Homer	GRF9
GT1(Trihelix)/col-GT1-DAP-Seq(GSE60143)/Homer	GT1
GT2(Trihelix)/colamp-GT2-DAP-Seq(GSE60143)/Homer	GT2
GT3a(Trihelix)/col-GT3a-DAP-Seq(GSE60143)/Homer	GT3A
GTL1(Trihelix)/colamp-GTL1-DAP-Seq(GSE60143)/Homer	GTL1
HAP3(CCAATHAP3)/col-HAP3-DAP-Seq(GSE60143)/Homer	HAP3
HAT1(Homeobox)/col-HAT1-DAP-Seq(GSE60143)/Homer	HAT1
HAT2(Homeobox)/colamp-HAT2-DAP-Seq(GSE60143)/Homer	HAT2
HAT5(Homeobox)/colamp-HAT5-DAP-Seq(GSE60143)/Homer	HAT5
ATHB6(Homeobox)/Arabidopsis-HB6-ChIP-Seq(GSE80564)/Homer	HB6
HDG1(Homeobox)/col100-HDG1-DAP-Seq(GSE60143)/Homer	HDG1
HDG7(HB)/col-HDG7-DAP-Seq(GSE60143)/Homer	HDG7
HSF21(HSF)/col-HSF21-DAP-Seq(GSE60143)/Homer	HSF21
HSF3(HSF)/colamp-HSF3-DAP-Seq(GSE60143)/Homer	HSF3
HSF6(HSF)/col-HSF6-DAP-Seq(GSE60143)/Homer	HSF6
HSF7(HSF)/colamp-HSF7-DAP-Seq(GSE60143)/Homer	HSF7
HSFA1E(HSF)/col-HSFA1E-DAP-Seq(GSE60143)/Homer	HSFA1E
HSFA6A(HSF)/col-HSFA6A-DAP-Seq(GSE60143)/Homer	HSFA6A
HSFA6B(HSF)/colamp-HSFA6B-DAP-Seq(GSE60143)/Homer	HSFA6B
HSFB3(HSF)/colamp-HSFB3-DAP-Seq(GSE60143)/Homer	HSFB3
HSFB4(HSF)/col-HSFB4-DAP-Seq(GSE60143)/Homer	HSFB4
HSFC1(HSF)/col-HSFC1-DAP-Seq(GSE60143)/Homer	HSFC1
HY5(bZIP)/colamp-HY5-DAP-Seq(GSE60143)/Homer	HY5
IBL1(bHLH)/Seedling-IBL1-ChIP-Seq(GSE51120)/Homer	IBL1
IDD2(C2H2)/colamp-IDD2-DAP-Seq(GSE60143)/Homer	IDD2
IDD4(C2H2)/col-IDD4-DAP-Seq(GSE60143)/Homer	IDD4
IDD5(C2H2)/colamp-IDD5-DAP-Seq(GSE60143)/Homer	IDD5
IDD7(C2H2)/col-IDD7-DAP-Seq(GSE60143)/Homer	IDD7
JGL(C2H2)/col-JGL-DAP-Seq(GSE60143)/Homer	JGL
JKD(C2H2)/col-JKD-DAP-Seq(GSE60143)/Homer	JKD
KANADI1(Myb)/Seedling-KAN1-ChIP-Seq(GSE48081)/Homer	KAN1
KAN2(G2like)/colamp-KAN2-DAP-Seq(GSE60143)/Homer	KAN2
Knotted(Homeobox)/Corn-KN1-ChIP-Seq(GSE39161)/Homer	KN1
LBD13(LOBAS2)/colamp-LBD13-DAP-Seq(GSE60143)/Homer	LBD13
LBD18(LOBAS2)/colamp-LBD18-DAP-Seq(GSE60143)/Homer	LBD18
LBD19(LOBAS2)/colamp-LBD19-DAP-Seq(GSE60143)/Homer	LBD19
LBD2(LOBAS2)/colamp-LBD2-DAP-Seq(GSE60143)/Homer	LBD2
LBD23(LOBAS2)/colamp-LBD23-DAP-Seq(GSE60143)/Homer	LBD23
LCL1(MYBrelated)/colamp-LCL1-DAP-Seq(GSE60143)/Homer	LCL1
LEP(AP2EREBP)/col-LEP-DAP-Seq(GSE60143)/Homer	LEP
LHY(Myb)/Seedling-LHY-ChIP-Seq(GSE52175)/Homer	LHY
LHY1(MYBrelated)/col-LHY1-DAP-Seq(GSE60143)/Homer	LHY1
LMI1(HB)/colamp-LMI1-DAP-Seq(GSE60143)/Homer	LMI1
LOB(LOBAS2)/col-LOB-DAP-Seq(GSE60143)/Homer	LOB
MGP(C2H2)/colamp-MGP-DAP-Seq(GSE60143)/Homer	MGP
MS188(MYB)/colamp-MS188-DAP-Seq(GSE60143)/Homer	MS188
MYB10(MYB)/col-MYB10-DAP-Seq(GSE60143)/Homer	MYB10
MYB101(MYB)/colamp-MYB101-DAP-Seq(GSE60143)/Homer	MYB101
MYB105(MYB)/colamp-MYB105-DAP-Seq(GSE60143)/Homer	MYB105
MYB107(MYB)/col-MYB107-DAP-Seq(GSE60143)/Homer	MYB107
MYB113(MYB)/col-MYB113-DAP-Seq(GSE60143)/Homer	MYB113
MYB116(MYB)/colamp-MYB116-DAP-Seq(GSE60143)/Homer	MYB116
MYB118(MYB)/colamp-MYB118-DAP-Seq(GSE60143)/Homer	MYB118
MYB119(MYB)/colamp-MYB119-DAP-Seq(GSE60143)/Homer	MYB119
MYB121(MYB)/col-MYB121-DAP-Seq(GSE60143)/Homer	MYB121
MYB13(MYB)/col-MYB13-DAP-Seq(GSE60143)/Homer	MYB13
MYB17(MYB)/colamp-MYB17-DAP-Seq(GSE60143)/Homer	MYB17
MYB27(MYB)/colamp-MYB27-DAP-Seq(GSE60143)/Homer	MYB27
MYB3(MYB)/Arabidopsis-MYB3-ChIP-Seq(GSE80564)/Homer	MYB3
MYB30(MYB)/colamp-MYB30-DAP-Seq(GSE60143)/Homer	MYB30
MYB33(MYB)/col-MYB33-DAP-Seq(GSE60143)/Homer	MYB33
MYB39(MYB)/col-MYB39-DAP-Seq(GSE60143)/Homer	MYB39
MYB3R1(MYB)/col-MYB3R1-DAP-Seq(GSE60143)/Homer	MYB3R1
MYB3R4(MYB)/col-MYB3R4-DAP-Seq(GSE60143)/Homer	MYB3R4
MYB3R5(MYB)/col-MYB3R5-DAP-Seq(GSE60143)/Homer	MYB3R5
MYB4(MYB)/col200-MYB4-DAP-Seq(GSE60143)/Homer	MYB4
MYB40(MYB)/col-MYB40-DAP-Seq(GSE60143)/Homer	MYB40
MYB41(MYB)/col-MYB41-DAP-Seq(GSE60143)/Homer	MYB41
MYB44(MYB)/colamp-MYB44-DAP-Seq(GSE60143)/Homer	MYB44
MYB49(MYB)/col-MYB49-DAP-Seq(GSE60143)/Homer	MYB49
MYB51(MYB)/col-MYB51-DAP-Seq(GSE60143)/Homer	MYB51
MYB55(MYB)/colamp-MYB55-DAP-Seq(GSE60143)/Homer	MYB55
MYB56(MYB)/colamp-MYB56-DAP-Seq(GSE60143)/Homer	MYB56
MYB57(MYB)/col-MYB57-DAP-Seq(GSE60143)/Homer	MYB57
MYB58(MYB)/colamp-MYB58-DAP-Seq(GSE60143)/Homer	MYB58
MYB61(MYB)/colamp-MYB61-DAP-Seq(GSE60143)/Homer	MYB61
MYB62(MYB)/colamp-MYB62-DAP-Seq(GSE60143)/Homer	MYB62
MYB63(MYB)/col-MYB63-DAP-Seq(GSE60143)/Homer	MYB63
MYB65(MYB)/colamp-MYB65-DAP-Seq(GSE60143)/Homer	MYB65
MYB67(MYB)/col-MYB67-DAP-Seq(GSE60143)/Homer	MYB67
MYB70(MYB)/col-MYB70-DAP-Seq(GSE60143)/Homer	MYB70
MYB73(MYB)/col-MYB73-DAP-Seq(GSE60143)/Homer	MYB73
MYB74(MYB)/colamp-MYB74-DAP-Seq(GSE60143)/Homer	MYB74
MYB77(MYB)/col-MYB77-DAP-Seq(GSE60143)/Homer	MYB77
MYB81(MYB)/col-MYB81-DAP-Seq(GSE60143)/Homer	MYB81
MYB83(MYB)/colamp-MYB83-DAP-Seq(GSE60143)/Homer	MYB83
MYB88(MYB)/col-MYB88-DAP-Seq(GSE60143)/Homer	MYB88
MYB92(MYB)/colamp-MYB92-DAP-Seq(GSE60143)/Homer	MYB92
MYB93(MYB)/colamp-MYB93-DAP-Seq(GSE60143)/Homer	MYB93
MYB94(MYB)/col-MYB94-DAP-Seq(GSE60143)/Homer	MYB94
MYB96(MYB)/colamp-MYB96-DAP-Seq(GSE60143)/Homer	MYB96
MYB98(MYB)/col-MYB98-DAP-Seq(GSE60143)/Homer	MYB98
MYB99(MYB)/colamp-MYB99-DAP-Seq(GSE60143)/Homer	MYB99
NAC2(NAC)/colamp-NAC2-DAP-Seq(GSE60143)/Homer	NAC2
NAM(NAC)/col-NAM-DAP-Seq(GSE60143)/Homer	NAM
NAP(NAC)/col-NAP-DAP-Seq(GSE60143)/Homer	NAP
NGA4(ABI3VP1)/col-NGA4-DAP-Seq(GSE60143)/Homer	NGA4
NLP7(RWPRK)/col-NLP7-DAP-Seq(GSE60143)/Homer	NLP7
NST1(NAC)/colamp-NST1-DAP-Seq(GSE60143)/Homer	NST1
NTM1(NAC)/col-NTM1-DAP-Seq(GSE60143)/Homer	NTM1
NTM2(NAC)/col-NTM2-DAP-Seq(GSE60143)/Homer	NTM2
NUC(C2H2)/col-NUC-DAP-Seq(GSE60143)/Homer	NUC
O2(bZIP)/Corn-O2-ChIP-Seq(GSE63991)/Homer	O2
OBP1(C2C2dof)/col-OBP1-DAP-Seq(GSE60143)/Homer	OBP1
OBP3(C2C2dof)/col-OBP3-DAP-Seq(GSE60143)/Homer	OBP3
OBP4(C2C2dof)/col-OBP4-DAP-Seq(GSE60143)/Homer	OBP4
PCF/Arabidopsis-Promoters/Homer	PCF
PHV(HB)/col-PHV-DAP-Seq(GSE60143)/Homer	PHV
PIF4(bHLH)/Seedling-PIF4-ChIP-Seq(GSE35315)/Homer	PIF4
PIF5ox(bHLH)/Arabidopsis-PIF5ox-ChIP-Seq(GSE35062)/Homer	PIF5OX
PIF7(bHLH)/col-PIF7-DAP-Seq(GSE60143)/Homer	PIF7
PLT1(AP2EREBP)/colamp-PLT1-DAP-Seq(GSE60143)/Homer	PLT1
PLT3(AP2EREBP)/col-PLT3-DAP-Seq(GSE60143)/Homer	PLT3
PTF1(TCP)/colamp-PTF1-DAP-Seq(GSE60143)/Homer	PTF1
