meta_id	trait	mesh_term	mesh_id	sample_size	n_case	n_control	popu	author	pmid	year	n_blocks	n_variants	n_sig	url	note
MR19229	PCT responsible for patient data: LIVERPOOL PCT	Patient Generated Health Data	D000076206	463010	4065.0	458945.0	UKB	Ben Elsworth	IEU-UKB	2018	1	4544880	5	https://gwas.mrcieu.ac.uk/files/ukb-b-20509/ukb-b-20509.vcf.gz	
FG00320	Type of special diet followed: Gluten-free	Diet, Gluten-Free	D055050	64001	1330.0	62671.0	UKB	Longda Jiang	31768069	2019	10	8510122	5510	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/20086_8.v1.1.fastGWA.gz	
GA020	Duration of walks	Walking	D016138	330974			UKB	CTGLAB	31427789	2019	7	10456220	85	https://atlas.ctglab.nl/	
FG03188	Vitamin and/or mineral supplement use: Fish oil	Fish Oils	D005395	64001	15374.0	48627.0	UKB	Longda Jiang	34737426	2021	1	11841870	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20084_472.v1.0.fastGWA.gz	
FG02649	Benign neoplasm of parathyroid gland	Parathyroid Neoplasms	D010282	456348	362.0	455986.0	UKB	Longda Jiang	34737426	2021	1	11842611	2	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/227.2_PheCode.v1.0.fastGWA.gz	
MR23644	Diagnoses - secondary ICD10: Z90.1 Acquired absence of breast(s)	Diagnosis	D003933	463010	1661.0	461349.0	UKB	Ben Elsworth	IEU-UKB	2018	1	2741317	19	https://gwas.mrcieu.ac.uk/files/ukb-b-16641/ukb-b-16641.vcf.gz	
GA189	Headaches for 3+ months	Headache Disorders	D020773	75898	34810.0	41088.0	UKB	CTGLAB	31427789	2019	5	9200427	51	https://atlas.ctglab.nl/	
GD00033	kallikrein-11 levels	Biomarkers, Tumor	D014408	653			EUR	Enroth S	25147954	2014	1	4826828	17	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009567	
AT090	F10 Mental and behavioural disorders due to use of alcohol	Alcohol-Related Disorders	D019973	452264	5797.0	446467.0	UKB	Roslin Institute	30349118	2018	1	9124364	85	http://geneatlas.roslin.ed.ac.uk/	
PE01825	Reason for reducing amount of alcohol drunk: Health precaution	Alcohol Drinking	D000428	156422	50788.0	105634.0	UKB	Pan-UKB team	Pan-UKB	2022	4	23854969	51	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-2664-both_sexes-3.tsv.bgz	
MR00404	Average monthly intake of other alcoholic drinks	Alcohol Drinking	D000428	34317			UKB	Ben Elsworth	IEU-UKB	2018	3	7671151	4	https://gwas.mrcieu.ac.uk/files/ukb-b-13978/ukb-b-13978.vcf.gz	
PE00683	Treatment/medication code: canesten 1% cream	Antifungal Agents	D000935	420473	110.0	420363.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140878530.tsv.bgz	
PE02396	Operative procedures - main OPCS4: M09.3 Endoscopic laser fragmentation of calculus of kidney	Surgical Procedures, Operative	D013514	420531	304.0	420227.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-M093.tsv.bgz	
PE06010	Acute pericarditis	Pericarditis	D010493	416568	255.0	416313.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861530	7	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-420.21-both_sexes.tsv.bgz	
GD01772	CD45RA- CD4+ T cell %T cell	CD4-Positive T-Lymphocytes	D015496	3427			EUR	Orrù V	32929287	2020	7	16870524	68	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001536	
PA00734	Inpatient record format: UK HES In Patient (2015 format)	Inpatients	D007297	420531	171718.0	248813.0	UKB	Pan-UKB team	Pan-UKB	2022	5	23861541	77	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41253-both_sexes-18.tsv.bgz	
PE00843	Treatment/medication code: salbutamol 100micrograms spacehaler	Bronchodilator Agents	D001993	420473	2652.0	417821.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140926606.tsv.bgz	
GD01597	CD25 on IgD+ CD38+ B cell	Chemokines	D018925	3656			EUR	Orrù V	32929287	2020	3	16763427	88	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001783	
FG00953	Mean FA in superior corona radiata on FA skeleton (right)	Internal Capsule	D020772	12101			UKB	Longda Jiang	31768069	2019	1	8492965	17	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25080.v1.1.fastGWA.gz	
PE05056	N30 Cystitis	Cystitis	D003556	420531	3473.0	417058.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-N30-both_sexes.tsv.bgz	
AT486	J60-J70 Lung diseases due to external agents	Lung Diseases	D008171	452264	1058.0	451206.0	UKB	Roslin Institute	30349118	2018	10	9124364	26	http://geneatlas.roslin.ed.ac.uk/	
GD01480	CD28 on CD28+ CD4+ T cell	Chemokines	D018925	2920			EUR	Orrù V	32929287	2020	5	16499000	309	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001894	
PE04129	Total thigh muscle volume	Parenteral Nutrition, Total	D010289	5028			UKB	Pan-UKB team	Pan-UKB	2022	8	19729019	25	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-22409-both_sexes-irnt.tsv.bgz	
FG00667	Job coding: non-commissioned officers or other rank of armed forces	Job Description	D007587	112278	2480.0	109798.0	UKB	Longda Jiang	31768069	2019	1	8515528	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/22601_33113434.v1.1.fastGWA.gz	
MR08659	Colorectal cancer	Colorectal Neoplasms	D015179	377673	5657.0	372016.0	UKB	Burrows	IEU-UKB	2021	9	11680639	228	https://gwas.mrcieu.ac.uk/files/ieu-b-4965/ieu-b-4965.vcf.gz	
AT476	H65-H75 Diseases of middle ear and mastoid	Ear Diseases	D004427	452264	3523.0	448741.0	UKB	Roslin Institute	30349118	2018	4	9124363	20	http://geneatlas.roslin.ed.ac.uk/	
GA167	Age started smoking in former smokers	Smoking	D012907	94891			UKB	CTGLAB	31427789	2019	1	9349024	1	https://atlas.ctglab.nl/	
FG02106	Mineral and other dietary supplements: Glucosamine	Self Care	D012648	454825	88339.0	366486.0	UKB	Longda Jiang	31768069	2019	2	8528508	109	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/6179_2.v1.1.fastGWA.gz	
OT269	Monocyte count	Monocytes	D009000	62076			EAS	Kanai M	29403010	2018	23	4028162	1332	http://jenger.riken.jp/en/result	no MAF
PA01043	Sleep disorders	Sleep Wake Disorders	D012893	420531	6623.0	413908.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-327-both_sexes.tsv.bgz	
F900679	Generalized anxiety disorder	Anxiety Disorders	D001008	342243	4666.0	337577.0	EUR	Kurki MI	36653562	2023	1	20013456	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_F5_GAD.gz	
MR09668	Valine	Valine	D014633	115048			UKB	Borges CM	IEU-UKB	2020	23	12157601	1519	https://gwas.mrcieu.ac.uk/files/met-d-Val/met-d-Val.vcf.gz	
MR10134	Operative procedures - main OPCS: K75.1 Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery	Drug-Eluting Stents	D054855	463010	2381.0	460629.0	UKB	Ben Elsworth	IEU-UKB	2018	1	3546307	54	https://gwas.mrcieu.ac.uk/files/ukb-b-9242/ukb-b-9242.vcf.gz	
PE05279	T51 Toxic effect of alcohol	Plants, Toxic	D010947	420531	1077.0	419454.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-T51-both_sexes.tsv.bgz	
F900389	Crohn's disease of large intestine	Intestine, Large	D007420	361508	1581.0	359927.0	EUR	Kurki MI	36653562	2023	9	20013949	220	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_CHRONLARGE.gz	
F901320	Deposits [accretions] on teeth	Dental Deposits	D003741	261208	1974.0	259234.0	EUR	Kurki MI	36653562	2023	2	20010535	19	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_K11_DEPOSITS.gz	
PE00270	Non-cancer illness code, self-reported: eye infection	Eye Infections	D015817	420473	403.0	420070.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	7	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1274.tsv.bgz	
F900110	Acute appendicitis, no complications	Appendicitis	D001064	368281	21998.0	346283.0	EUR	Kurki MI	36653562	2023	9	20014133	620	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_APPENDACUT_NOCOMPLIC.gz	
GA501	E11 Type 2 diabetes mellitus	Diabetes Mellitus, Type 2	D003924	244890	16673.0	228217.0	UKB	CTGLAB	31427789	2019	47	10153967	2392	https://atlas.ctglab.nl/	
FG01223	Mean ICVF in medial lemniscus on FA skeleton (left)	Pyramidal Tracts	D011712	12099			UKB	Longda Jiang	31768069	2019	1	8493131	17	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25353.v1.1.fastGWA.gz	
PA00412	Albumin/Globulin ratio	Liver Function Tests	D008111	7707			UKB	Pan-UKB team	Pan-UKB	2022	4	15951794	922	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-AG-both_sexes-irnt.tsv.bgz	
PE06146	Pulmonary congestion and hypostasis	Respiratory Tract Diseases	D012140	405286	602.0	404684.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861491	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-503-both_sexes.tsv.bgz	
PA01059	Chronic bronchitis	Bronchitis, Chronic	D029481	391420	11764.0	379656.0	UKB	Pan-UKB team	Pan-UKB	2022	7	23861424	353	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-496.2-both_sexes.tsv.bgz	
MR15018	Treatment/medication code: quinine	Quinine	D011803	462933	3080.0	459853.0	UKB	Ben Elsworth	IEU-UKB	2018	2	4053786	82	https://gwas.mrcieu.ac.uk/files/ukb-b-19759/ukb-b-19759.vcf.gz	
PE03391	Sources of admission to hospital (recoded): Nursing, residential care, group home: Non-NHS	Home Nursing	D006701	418485	330.0	418155.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861546	3	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41251-both_sexes-7003.tsv.bgz	
PH003	Body mass index males	Body Mass Index	D015992	90992			EAS	Akiyama M 	28892062	2017	28	5314140	1717	https://www.ebi.ac.uk/gwas/downloads/summary-statistics	no MAF
FG02486	Endometrial hyperplasia	Endometrial Hyperplasia	D004714	247540	742.0	246798.0	UKB	Longda Jiang	34737426	2021	1	11842696	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/621_PheCode.v1.0.fastGWA.gz	
PA00004	Birth weight known: No	Birth Weight	D001724	6624	4844.0	1780.0	UKB	Pan-UKB team	Pan-UKB	2022	1	21964215	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-120-both_sexes-9.tsv.bgz	
PE07128	phenoxymethylpenicillin	Penicillin V	D010404	420531	20499.0	400032.0	UKB	Pan-UKB team	Pan-UKB	2022	3	23861553	4	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-phenoxymethylpenicillin-both_sexes.tsv.bgz	
F902233	Essential (haemorrhagic) thrombocythaemia	Osteolysis, Essential	D010015	287455	967.0	286488.0	EUR	Kurki MI	36653562	2023	10	20011615	674	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_THROMBOCYTAEMIA.gz	
MR35360	Operation code: removal of testicle/orchidectomy	Arterial Switch Operation	D000069278	462933	1481.0	461452.0	UKB	Ben Elsworth	IEU-UKB	2018	2	2455225	22	https://gwas.mrcieu.ac.uk/files/ukb-b-2522/ukb-b-2522.vcf.gz	
GD01302	CD28+ CD45RA+ CD8dim T cell Absolute Count	T-Lymphocytes	D013601	3408			EUR	Orrù V	32929287	2020	28	16861507	247	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90001001-GCST90002000/GCST90001666	
PE00127	Country of birth (UK/elsewhere): Republic of Ireland	Birth Setting	D000077085	420210	3106.0	417104.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861551	8	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1647-both_sexes-5.tsv.bgz	
DB622	Triglycerides (at exam 3, GEE, adjusted for age and sex)	Triglycerides	D014280	1068			EUR	Kathiresan S	17903299	2007	1	103434	1	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=626	
FG00477	Frequency of consuming six or more units of alcohol	Alcohol Drinking	D000428	135610			UKB	Longda Jiang	31768069	2019	5	8520185	3255	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/20416.v1.1.fastGWA.gz	
MR32156	PCT where patients GP was registered: OLDHAM PCT	Thrombasthenia	D013915	463010	2658.0	460352.0	UKB	Ben Elsworth	IEU-UKB	2018	2	3767633	4	https://gwas.mrcieu.ac.uk/files/ukb-b-15528/ukb-b-15528.vcf.gz	
PE03106	PCT responsible for patient data: LEWISHAM PCT	Patient Generated Health Data	D000076206	420531	689.0	419842.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	3	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5LF.tsv.bgz	
PE07111	opioid analgesic	Analgesics, Opioid	D000701	420531	32567.0	387964.0	UKB	Pan-UKB team	Pan-UKB	2022	5	23861553	47	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-opioid_analgesic-both_sexes.tsv.bgz	
GD00729	cup-to-disc ratio measurement	Optic Disk	D009898	25180			UKB	Bonnemaijer PWM	31798171	2019	23	14952633	2473	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009412	
FG02245	Uterine/Uterovaginal prolapse	Uterine Prolapse	D014596	247540	4580.0	242960.0	UKB	Longda Jiang	34737426	2021	6	11842657	225	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/618.2_PheCode.v1.0.fastGWA.gz	
MR05199	Type of sliced bread eaten: seeded	Bread	D001939	64949	6387.0	58562.0	UKB	Ben Elsworth	IEU-UKB	2018	1	5264452	1	https://gwas.mrcieu.ac.uk/files/ukb-b-18611/ukb-b-18611.vcf.gz	
GCST90104555	Ischemic stroke	Brain Ischemia	D002545	5326	1180.0	4146.0	AMR	Mishra A	36180795	2022	1	7277312	1	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90104001-GCST90105000/GCST90104555	
GCST90134592	Right ventricular end diastolic volume (MTAG)	Ventricular Function, Right	D016278	29506			UKB	Aung N	35697868	2022	12	7158209	425	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90134001-GCST90135000/GCST90134592	
F901692	Gout	Gout	D006073	249351	8489.0	240862.0	EUR	Kurki MI	36653562	2023	16	20009637	2856	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_M13_GOUT.gz	
F901594	Other and unspecified disorders of skin and subcutaneous tissue	Skin Diseases	D012871	355038	1950.0	353088.0	EUR	Kurki MI	36653562	2023	1	20013795	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_L12_SKINSUBCUTISNAS.gz	
FG02827	Atrophic gastritis	Gastritis, Atrophic	D005757	456348	180.0	456168.0	UKB	Longda Jiang	34737426	2021	1	11842620	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/535.2_PheCode.v1.0.fastGWA.gz	
PE01448	Ingredients in homemade soup: Meat	Meat	D008460	58890	395.0	58495.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23734928	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20109-both_sexes-2.tsv.bgz	
F900230	Benign neoplasm: Ascending colon	Colon, Ascending	D044682	377277	3177.0	374100.0	EUR	Kurki MI	36653562	2023	1	20014303	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_CD2_BENIGN_ASCENDING_COLON.gz	
PE02102	Operative procedures - main OPCS4: E54.5 Partial lobectomy of lung NEC	Surgical Procedures, Operative	D013514	420531	155.0	420376.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861554	5	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-E545.tsv.bgz	
GA409	Mineral and other dietary supplements: Calcium	Self Care	D012648	385261	26483.0	358778.0	UKB	CTGLAB	31427789	2019	4	10598461	31	https://atlas.ctglab.nl/	
DB668	Ankle-brachial index (at exam 6, GEE, adjusted for multivariable)	Ankle Brachial Index	D055109	984			EUR	Fox CS	17903303	2007	1	103417	2	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=930	
F901179	Status post-ami	Myocardial Infarction	D009203	316430	3030.0	313400.0	EUR	Kurki MI	36653562	2023	5	20012765	102	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_I9_POSTAMI.gz	
F900855	Trigeminal neuralgia	Trigeminal Neuralgia	D014277	331976	1599.0	330377.0	EUR	Kurki MI	36653562	2023	1	20013248	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_G6_TRINEU.gz	
PE01795	Gap coding: Full-time or part-time education	Job Description	D007587	79822	14429.0	65393.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23807037	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-22660-both_sexes-103.tsv.bgz	
MR15545	Frequency of solarium/sunlamp use	Sunbathing	D055108	436185			UKB	Ben Elsworth	IEU-UKB	2018	6	9804880	184	https://gwas.mrcieu.ac.uk/files/ukb-b-4943/ukb-b-4943.vcf.gz	
DB068	CD40 Ligand plasma (at exam 7, GEE, adjusted for age and sex)	CD40 Ligand	D023201	998			EUR	Benjamin EJ	17903293	2007	5	103508	8	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1116	
GA491	M16 Osteoarthritis of hip	Osteoarthritis, Hip	D015207	300791	9873.0	290918.0	UKB	CTGLAB	31427789	2019	12	10347659	348	https://atlas.ctglab.nl/	
F901578	Prurigo nodularis	Prurigo	D011536	337195	606.0	336589.0	EUR	Kurki MI	36653562	2023	1	20013417	2	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_L12_PRURIGONOD.gz	
MR37956	Operation code: anterior/posterior repair bladder/uterus	Arterial Switch Operation	D000069278	462933	4357.0	458576.0	UKB	Ben Elsworth	IEU-UKB	2018	1	4659783	2	https://gwas.mrcieu.ac.uk/files/ukb-b-16904/ukb-b-16904.vcf.gz	
PE03154	PCT responsible for patient data: SUFFOLK PCT	Patient Generated Health Data	D000076206	420531	154.0	420377.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41229-both_sexes-5PT.tsv.bgz	
MR03018	Chocolate-covered raisin intake	Chocolate	D000069956	64949			UKB	Ben Elsworth	IEU-UKB	2018	7	8582515	10	https://gwas.mrcieu.ac.uk/files/ukb-b-1160/ukb-b-1160.vcf.gz	
PE05274	T44 Poisoning by drugs primarily affecting the autonomic nervous system	Autonomic Nervous System	D001341	420531	218.0	420313.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861554	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-T44-both_sexes.tsv.bgz	
FG02187	Other peripheral nerve disorders	Peripheral Nerve Injuries	D059348	456348	12887.0	443461.0	UKB	Longda Jiang	34737426	2021	7	11842467	109	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/351_PheCode.v1.0.fastGWA.gz	
GD01429	CD4 on activated & secreting CD4 regulatory T cell	Chemokines	D018925	2920			EUR	Orrù V	32929287	2020	2	16498766	9	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002070	
F901559	Other melanin hyperpigmentation	Hyperpigmentation	D017495	353598	510.0	353088.0	EUR	Kurki MI	36653562	2023	1	20013778	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_L12_OTHERMELANIN.gz	
AT080	K35 Acute appendicitis	Appendicitis	D001064	452264	3169.0	449095.0	UKB	Roslin Institute	30349118	2018	1	9124362	27	http://geneatlas.roslin.ed.ac.uk/	
PE00917	Treatment/medication code: isotard 25xl m/r tablet	Pharmaceutical Preparations	D004364	420473	170.0	420303.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1141168108.tsv.bgz	
GA536	Frequency of memory loss due to drinking alcohol in last year	Alcohol Drinking	D000428	69228			UKB	CTGLAB	31427789	2019	2	9143713	5	https://atlas.ctglab.nl/	
F900763	Cervical root disorders	Spinal Nerve Roots	D013126	330567	190.0	330377.0	EUR	Kurki MI	36653562	2023	2	20013205	5	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_G6_CERVROOT.gz	
PE02492	Operative procedures - main OPCS4: P20.1 Excision of lesion of vagina	Surgical Procedures, Operative	D013514	420531	374.0	420157.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-P201.tsv.bgz	
PE04364	Financial situation satisfaction	Personal Satisfaction	D010549	137653			UKB	Pan-UKB team	Pan-UKB	2022	13	23852206	47	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-4581-both_sexes.tsv.bgz	
PE05829	Extrapyramidal disease and abnormal movement disorders	Extrapyramidal Tracts	D005116	404563	1314.0	403249.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861493	6	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-333-both_sexes.tsv.bgz	
F901351	Hypoplasia of dental enamel , including avohilmo	Dental Enamel Hypoplasia	D003744	377277	540.0	376737.0	EUR	Kurki MI	36653562	2023	3	20014302	9	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_K11_HYPOPLASIA_ENAMEL_INCLAVO.gz	
PE06711	Fracture of clavicle or scapula	Fractures, Bone	D050723	397144	2097.0	395047.0	UKB	Pan-UKB team	Pan-UKB	2022	4	23861455	6	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-803.3-both_sexes.tsv.bgz	
PA00792	Time spend outdoors in summer	Leisure Activities	D007899	381494			UKB	Pan-UKB team	Pan-UKB	2022	62	23861375	4522	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-1050-both_sexes.tsv.bgz	
PA00115	Aspartate aminotransferase	Aspartate Aminotransferases	D001219	8395			UKB	Pan-UKB team	Pan-UKB	2022	3	15962643	79	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/biomarkers-30650-both_sexes-irnt.tsv.bgz	
PE02273	Operative procedures - main OPCS4: J38.1 Endoscopic sphincterotomy of sphincter of Oddi and removal of calculus HFQ	Sphincter of Oddi	D009803	420531	1576.0	418955.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861554	28	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-J381.tsv.bgz	
GA426	Treatment/medication code: lisinopril	Self Care	D012648	280443	10589.0	269854.0	UKB	CTGLAB	31427789	2019	4	10280021	26	https://atlas.ctglab.nl/	
F901870	Noninflammatory disorders of female genital tract	Genital Neoplasms, Female	D005833	210870	103306.0	107564.0	EUR	Kurki MI	36653562	2023	11	20006609	455	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_N14_FEMALEGENNONINF.gz	
F901624	Coxarthrosis,	Osteoarthritis, Hip	D015207	263116	22254.0	240862.0	EUR	Kurki MI	36653562	2023	43	20010554	2173	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_M13_ARTHTROSIS_COX.gz	
FG02588	Articular cartilage disorder	Cartilage, Articular	D002358	456348	484.0	455864.0	UKB	Longda Jiang	34737426	2021	1	11842619	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/742.8_PheCode.v1.0.fastGWA.gz	
F900427	Coagulation defects, purpura and other haemorrhagic conditions	Hemorrhagic Disorders	D006474	377277	5773.0	371504.0	EUR	Kurki MI	36653562	2023	12	20014308	734	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_D3_COAGDEF_PURPUR_HAEMORRHAGIC.gz	
DB176	Viscosity I (at exam 5, GEE, adjusted for age and sex)	Blood Viscosity	D001809	832			EUR	Yang Q	17903294	2007	4	103011	5	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1108	
DB720	Coronary heart disease (MI, CI or CHD death, GEE, adjusted for multivariable)	Coronary Disease	D003327	1345	118.0	1227.0	EUR	Larson MG	17903304	2007	3	104180	4	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=1364	
MR34384	PCT responsible for patient data: BERKSHIRE WEST PCT	Patient Generated Health Data	D000076206	463010	4668.0	458342.0	UKB	Ben Elsworth	IEU-UKB	2018	1	4771383	3	https://gwas.mrcieu.ac.uk/files/ukb-b-1318/ukb-b-1318.vcf.gz	
MR20033	Lobster/crab intake	Energy Intake	D002149	64938			UKB	Ben Elsworth	IEU-UKB	2018	10	8582277	14	https://gwas.mrcieu.ac.uk/files/ukb-b-14746/ukb-b-14746.vcf.gz	
FG01516	Weighted-mean L3 in tract uncinate fasciculus (right)	Uncinate Fasciculus	D000083382	12099			UKB	Longda Jiang	31768069	2019	2	8493147	74	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25649.v1.1.fastGWA.gz	
PE07002	fusidic acid/betamethasone	Fusidic Acid	D005672	420531	5325.0	415206.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-fusidic_acid_betamethasone-both_sexes.tsv.bgz	
DB516	High-density lipoprotein 2 cholesterol (at exam 5, GEE, adjusted for multivariable)	Cholesterol, HDL	D008076	958			EUR	Kathiresan S	17903299	2007	9	103510	12	https://www.ncbi.nlm.nih.gov/projects/SNP/gViewer/gView.cgi?aid=520	
F900303	Benign neoplasm: Cerebral meninges	Meninges	D008578	377277	2382.0	374895.0	EUR	Kurki MI	36653562	2023	5	20014303	53	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_CD2_BENIGN_MENINGES_CEREBRAL.gz	
AT391	K13 Other diseases of lip and oral mucosa	Mouth Diseases	D009059	452264	3122.0	449142.0	UKB	Roslin Institute	30349118	2018	2	9124373	7	http://geneatlas.roslin.ed.ac.uk/	
