meta_id	trait	mesh_term	mesh_id	sample_size	n_case	n_control	popu	author	pmid	year	n_blocks	n_variants	n_sig	url	note	index	trait_abbr	trait_code
PE07193	temazepam	Temazepam	D013693	420531	7647.0	412884.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861554	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-temazepam-both_sexes.tsv.bgz		7040	temazepam_PE07193	CAUSALdb_temazepam_PE07193_7040
MR11971	Lung cancer	Lung Neoplasms	D008175	374687	2671.0	372016.0	UKB	Burrows	IEU-UKB	2021	3	11023536	161	https://gwas.mrcieu.ac.uk/files/ieu-b-4955/ieu-b-4955.vcf.gz		7041	LC_MR11971	CAUSALdb_LC_MR11971_7041
F901445	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	Colitis, Ulcerative	D003093	376564	5034.0	371530.0	EUR	Kurki MI	36653562	2023	39	20014298	4293	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_K11_UC_STRICT2.gz		7042	UCSDRKMH_F901445	CAUSALdb_UCSDRKMH_F901445_7042
OT246	Estimated glomerular filtration rate	Glomerular Filtration Rate	D005919	143658			EAS	Kanai M	29403010	2018	43	4028203	2438	http://jenger.riken.jp/en/result	no MAF	7043	EGFR_OT246	CAUSALdb_EGFR_OT246_7043
GD09630	COVID-19 (critical illness vs population)	COVID-19	D000086382	1092	182.0	910.0	UKB	Pairo-Castineira E	33307546	2020	51	2909350	78	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90013001-GCST90014000/GCST90013412	no MAF	7044	CCIVP_GD09630	CAUSALdb_CCIVP_GD09630_7044
FG01372	Weighted-mean FA in tract inferior longitudinal fasciculus (right)	Pyramidal Tracts	D011712	12099			UKB	Longda Jiang	31768069	2019	3	8493134	167	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25503.v1.1.fastGWA.gz		7045	WMFITILFR_FG01372	CAUSALdb_WMFITILFR_FG01372_7045
PE04439	Longest period of unenthusiasm / disinterest	Postpartum Period	D049590	37166			UKB	Pan-UKB team	Pan-UKB	2022	1	23436361	2	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-5375-both_sexes-irnt.tsv.bgz		7046	LPOUD_PE04439	CAUSALdb_LPOUD_PE04439_7046
FG03357	Major dietary changes in the last 5 years: Yes, because of illness	Diet, Food, and Nutrition	D000066888	455177	48347.0	406830.0	UKB	Longda Jiang	34737426	2021	8	11842298	517	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/1538_1.v1.0.fastGWA.gz		7047	MDCITLYYBOI_FG03357	CAUSALdb_MDCITLYYBOI_FG03357_7047
AT283	J43 Emphysema	Pulmonary Emphysema	D011656	452264	1881.0	450383.0	UKB	Roslin Institute	30349118	2018	8	9124374	143	http://geneatlas.roslin.ed.ac.uk/		7048	JE_AT283	CAUSALdb_JE_AT283_7048
LD064	Intracranial volume	Brain	D001921	30717			EUR	ENIGMA	25607358	2015	1	6775153	130	http://enigma.ini.usc.edu/	no MAF	7049	IV_LD064	CAUSALdb_IV_LD064_7049
FG03960	Type milk consumed: rice/oat/vegetable milk	Milk	D008892	64001	368.0	63633.0	UKB	Longda Jiang	34737426	2021	1	11842021	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/100920_2108.v1.0.fastGWA.gz		7050	TMCROVM_FG03960	CAUSALdb_TMCROVM_FG03960_7050
MR36968	Current employment status: Unable to work because of sickness or disability	Employment	D004651	461242	17977.0	443265.0	UKB	Ben Elsworth	IEU-UKB	2018	5	6748812	42	https://gwas.mrcieu.ac.uk/files/ukb-b-14080/ukb-b-14080.vcf.gz		7051	CESUTWBOSOD_MR36968	CAUSALdb_CESUTWBOSOD_MR36968_7051
PE06524	Actinic keratosis	Keratosis, Actinic	D055623	417014	3420.0	413594.0	UKB	Pan-UKB team	Pan-UKB	2022	5	23861536	164	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-702.1-both_sexes.tsv.bgz		7052	AK_PE06524	CAUSALdb_AK_PE06524_7052
LD088	Acetate	Acetoacetates	D000090	24748			EUR	Kettunen	27005778	2016	1	12081067	1	http://www.computationalmedicine.fi/data#NMR_GWAS		7053	Acetate_LD088	CAUSALdb_Acetate_LD088_7053
GD01006	left ventricular structural measurement	Myocardium	D009206	18096			UKB	Meyer HV	32814899	2020	1	13410706	1	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000287		7054	LVSM_GD01006	CAUSALdb_LVSM_GD01006_7054
PA01136	Hair colour (natural, before greying): Dark brown	Hair Color	D006200	1563	627.0	936.0	UKB	Pan-UKB team	Pan-UKB	2022	2	13974400	10	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-1747-both_sexes-4.tsv.bgz		7055	HCNBGDB_PA01136	CAUSALdb_HCNBGDB_PA01136_7055
MR05751	Diagnoses - main ICD10: K57.9 Diverticular disease of intestine, part unspecified, without perforation or abscess	Diverticular Diseases	D000076385	463010	2345.0	460665.0	UKB	Ben Elsworth	IEU-UKB	2018	1	3514007	31	https://gwas.mrcieu.ac.uk/files/ukb-b-7166/ukb-b-7166.vcf.gz		7056	DMIKDDOIPUWPOA_MR05751	CAUSALdb_DMIKDDOIPUWPOA_MR05751_7056
GD00981	tumor necrosis factor beta measurement	Tumor Necrosis Factors	D048069	982			EUR	Hillary RF	32641083	2020	2	7903046	53	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000499	no MAF	7057	TNFBM_GD00981	CAUSALdb_TNFBM_GD00981_7057
PA00086	Forced vital capacity (FVC)	Vital Capacity	D014797	5978			UKB	Pan-UKB team	Pan-UKB	2022	2	21963889	6	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-3062-both_sexes-irnt.tsv.bgz		7058	FVCF_PA00086	CAUSALdb_FVCF_PA00086_7058
FG04000	Treatment/medication code: ferrous sulphate	Iron Compounds	D058085	456276	2268.0	454008.0	UKB	Longda Jiang	34737426	2021	3	11842559	174	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20003_1140870390.v1.0.fastGWA.gz		7059	TMCFS_FG04000	CAUSALdb_TMCFS_FG04000_7059
MR26677	Illnesses of siblings: Chronic bronchitis/emphysema	Family Health	D005192	361823	10325.0	351498.0	UKB	Ben Elsworth	IEU-UKB	2018	1	5968433	66	https://gwas.mrcieu.ac.uk/files/ukb-b-13952/ukb-b-13952.vcf.gz		7060	IOSCBE_MR26677	CAUSALdb_IOSCBE_MR26677_7060
F901906	Male infertility	Infertility, Male	D007248	120568	1271.0	119297.0	EUR	Kurki MI	36653562	2023	1	19983945	2	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_N14_MALEINFERT.gz		7061	MI_F901906	CAUSALdb_MI_F901906_7061
PE06617	Symptoms and disorders of the joints	Musculoskeletal Diseases	D009140	417245	3789.0	413456.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861540	5	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-741-both_sexes.tsv.bgz		7062	SADOTJ_PE06617	CAUSALdb_SADOTJ_PE06617_7062
MR01133	Diagnoses - secondary ICD10: Z86.4 Personal history of psychoactive substance abuse	Substance Abuse, Intravenous	D015819	463010	11793.0	451217.0	UKB	Ben Elsworth	IEU-UKB	2018	1	6160063	2	https://gwas.mrcieu.ac.uk/files/ukb-b-1585/ukb-b-1585.vcf.gz		7063	DSIZPHOPSA_MR01133	CAUSALdb_DSIZPHOPSA_MR01133_7063
MR16645	Job involves heavy manual or physical work	Employment	D004651	263615			UKB	Ben Elsworth	IEU-UKB	2018	27	9638494	1633	https://gwas.mrcieu.ac.uk/files/ukb-b-2002/ukb-b-2002.vcf.gz		7064	JIHMOPW_MR16645	CAUSALdb_JIHMOPW_MR16645_7064
PE06327	Anatomical abnormatilies of kidney and ureters	Pathological Conditions, Anatomical	D020763	402202	275.0	401927.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861497	3	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-586.1-both_sexes.tsv.bgz		7065	AAOKAU_PE06327	CAUSALdb_AAOKAU_PE06327_7065
AT621	I80 Phlebitis and thrombophlebitis	Phlebitis	D010689	452264	4178.0	448086.0	UKB	Roslin Institute	30349118	2018	10	9124368	806	http://geneatlas.roslin.ed.ac.uk/		7066	IPAT_AT621	CAUSALdb_IPAT_AT621_7066
AT116	M60-M63 Disorders of muscles	Muscular Diseases	D009135	452264	1233.0	451031.0	UKB	Roslin Institute	30349118	2018	5	9124369	5	http://geneatlas.roslin.ed.ac.uk/		7067	MMDOM_AT116	CAUSALdb_MMDOM_AT116_7067
MR19416	Cellulitis	Cellulitis	D002481	486484	12196.0	474288.0	UKB	Hamilton F	IEU-UKB	2021	4	12242413	83	https://gwas.mrcieu.ac.uk/files/ieu-b-4970/ieu-b-4970.vcf.gz		7068	Cellulitis_MR19416	CAUSALdb_Cellulitis_MR19416_7068
PE02575	Operative procedures - main OPCS4: S06.8 Other specified other excision of lesion of skin	Surgical Procedures, Operative	D013514	420531	3531.0	417000.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	4	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-S068.tsv.bgz		7069	OPMOSOSOEOLOS_PE02575	CAUSALdb_OPMOSOSOEOLOS_PE02575_7069
F901705	Juvenile rheuma	Juvenile Delinquency	D007604	241554	692.0	240862.0	EUR	Kurki MI	36653562	2023	11	20009055	5460	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_M13_JUVERHEU.gz		7070	JR_F901705	CAUSALdb_JR_F901705_7070
GCST90104459	Meconium Ileus in Cystic Fibrosis (adjusted for Cystic Fibrosis-Related Diabetes)	Cystic Fibrosis	D003550	4028	817.0	3211.0	EUR	Aksit MA	36206743	2022	1	9737567	25	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90104001-GCST90105000/GCST90104459		7071	MIICFAFCFRD_GCST90104459	CAUSALdb_MIICFAFCFRD_GCST90104459_7071
GD09095	age at first sexual intercourse measurement	Coitus	D003075	214547			UKB	Mills MC	34211149	2021	90	16426263	4796	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000045	no MAF	7072	AAFSIM_GD09095	CAUSALdb_AAFSIM_GD09095_7072
AT230	N12 Tubulo-interstitial nephritis, not specified as acute or chronic	Nephritis	D009393	452264	991.0	451273.0	UKB	Roslin Institute	30349118	2018	7	9124360	14	http://geneatlas.roslin.ed.ac.uk/		7073	NTINNSAAOC_AT230	CAUSALdb_NTINNSAAOC_AT230_7073
FG01195	Mean L3 in posterior thalamic radiation on FA skeleton (left)	Posterior Thalamic Nuclei	D020656	12101			UKB	Longda Jiang	31768069	2019	4	8492961	124	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25325.v1.1.fastGWA.gz		7074	MLIPTROFSL_FG01195	CAUSALdb_MLIPTROFSL_FG01195_7074
F901434	Pathological resorption of teeth	Tooth Resorption	D014091	259388	154.0	259234.0	EUR	Kurki MI	36653562	2023	1	20010387	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_K11_RESORBTION.gz		7075	PROT_F901434	CAUSALdb_PROT_F901434_7075
GA532	Z96 Presence of other functional implants	Prosthesis Implantation	D019919	244890	15673.0	229217.0	UKB	CTGLAB	31427789	2019	3	10153814	4	https://atlas.ctglab.nl/		7076	ZPOOFI_GA532	CAUSALdb_ZPOOFI_GA532_7076
PE02826	Operative procedures - main OPCS4: W20.1 Primary open reduction of fracture of long bone and extramedullary fixation using plate NEC	Surgical Procedures, Operative	D013514	420531	4153.0	416378.0	UKB	Pan-UKB team	Pan-UKB	2022	3	23861554	193	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-W201.tsv.bgz		7077	OPMOWPOROFOLBAEFUPN_PE02826	CAUSALdb_OPMOWPOROFOLBAEFUPN_PE02826_7077
PE00631	Treatment/medication code: sodium valproate	Anticonvulsants	D000927	420473	399.0	420074.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861554	4	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20003-both_sexes-1140872198.tsv.bgz		7078	TMCSV_PE00631	CAUSALdb_TMCSV_PE00631_7078
F900044	Pediculosis, acariasis and other infestations	Parasitic Diseases	D010272	377277	1518.0	375759.0	EUR	Kurki MI	36653562	2023	1	20014306	2	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST.gz		7079	PAAOI_F900044	CAUSALdb_PAAOI_F900044_7079
PE05565	Cancer, suspected or other	Neoplasms	D009369	405243	37387.0	367856.0	UKB	Pan-UKB team	Pan-UKB	2022	9	23861472	84	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-195-both_sexes.tsv.bgz		7080	CSOO_PE05565	CAUSALdb_CSOO_PE05565_7080
PE03436	FI3 : word interpolation	Word Processing	D015443	134717	113724.0	20993.0	UKB	Pan-UKB team	Pan-UKB	2022	6	23851749	180	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-4957-both_sexes-4957.tsv.bgz		7081	FWI_PE03436	CAUSALdb_FWI_PE03436_7081
MR08544	PCT where patients GP was registered: BOLTON PCT	Thrombasthenia	D013915	463010	3330.0	459680.0	UKB	Ben Elsworth	IEU-UKB	2018	2	4200263	4	https://gwas.mrcieu.ac.uk/files/ukb-b-19469/ukb-b-19469.vcf.gz		7082	PWPGWRBP_MR08544	CAUSALdb_PWPGWRBP_MR08544_7082
FG00835	Frequency of solarium/sunlamp use	Sunbathing	D055108	430120			UKB	Longda Jiang	31768069	2019	4	8527196	257	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/2277.v1.1.fastGWA.gz		7083	FOSSU_FG00835	CAUSALdb_FOSSU_FG00835_7083
PE06286	Abnormal results of function study of liver	Liver Function Tests	D008111	413033	4631.0	408402.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861517	13	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-573.7-both_sexes.tsv.bgz		7084	AROFSOL_PE06286	CAUSALdb_AROFSOL_PE06286_7084
PE06388	Benign neoplasm of breast	Breast Neoplasms	D001943	221632	1685.0	219947.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23858995	49	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-610.4-females.tsv.bgz		7085	BNOB_PE06388	CAUSALdb_BNOB_PE06388_7085
F900253	Benign neoplasm: Conjunctiva	Conjunctiva	D003228	377277	824.0	376453.0	EUR	Kurki MI	36653562	2023	1	20014297	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_CD2_BENIGN_CONJUNCTIVA.gz		7086	BNC_F900253	CAUSALdb_BNC_F900253_7086
AT765	Number of days/week walked 10+ minutes	Walking	D016138	452264			UKB	Roslin Institute	30349118	2018	20	9124367	638	http://geneatlas.roslin.ed.ac.uk/		7087	NODWWM_AT765	CAUSALdb_NODWWM_AT765_7087
MR37009	Type of cancer: ICD10: C44.6 Skin of upper limb, including shoulder	Skin	D012867	463010	1375.0	461635.0	UKB	Ben Elsworth	IEU-UKB	2018	1	2261061	17	https://gwas.mrcieu.ac.uk/files/ukb-b-19078/ukb-b-19078.vcf.gz		7088	TOCICSOULIS_MR37009	CAUSALdb_TOCICSOULIS_MR37009_7088
MR24245	End-stage renal disease	Kidney Failure, Chronic	D007676	16405	326.0	208.0	AMR	Wojcik GL	31217584	2019	1	11532867	4	https://gwas.mrcieu.ac.uk/files/ebi-a-GCST008031/ebi-a-GCST008031.vcf.gz		7089	ESRD_MR24245	CAUSALdb_ESRD_MR24245_7089
F900877	Background retinopathy and retinal vascular changes	Retinal Diseases	D012164	345102	533.0	344569.0	EUR	Kurki MI	36653562	2023	3	20013662	5	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_H7_BCKRNDRETINOPAT.gz		7090	BRARVC_F900877	CAUSALdb_BRARVC_F900877_7090
GA443	Illnesses of father: Heart disease	Family Health	D005192	355137	111358.0	243779.0	UKB	CTGLAB	31427789	2019	23	10520045	910	https://atlas.ctglab.nl/		7091	IOFHD_GA443	CAUSALdb_IOFHD_GA443_7091
F901525	Hidradenitis suppurativa	Hidradenitis Suppurativa	D017497	362071	931.0	361140.0	EUR	Kurki MI	36653562	2023	2	20014043	18	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_L12_HIDRADENITISSUP.gz		7092	HS_F901525	CAUSALdb_HS_F901525_7092
GA475	Cancer register - Histology of cancer tumour: Basal cell carcinoma, NOS	Carcinoma, Basal Cell	D002280	60692	12890.0	47802.0	UKB	CTGLAB	31427789	2019	37	9066393	3788	https://atlas.ctglab.nl/		7093	CRHOCTBCCN_GA475	CAUSALdb_CRHOCTBCCN_GA475_7093
AT404	bladder problem (not cancer)	Urinary Bladder Diseases	D001745	452264	4259.0	448005.0	UKB	Roslin Institute	30349118	2018	2	9124371	3	http://geneatlas.roslin.ed.ac.uk/		7094	BPNC_AT404	CAUSALdb_BPNC_AT404_7094
PE01668	Manifestations of mania or irritability: I needed less sleep than usual	Mania	D000087122	132146	4427.0	127719.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23851951	13	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20548-both_sexes-5.tsv.bgz		7095	MOMOIINLSTU_PE01668	CAUSALdb_MOMOIINLSTU_PE01668_7095
MR31409	Treatment/medication code: glucosamine product	Self Care	D012648	462933	30643.0	432290.0	UKB	Ben Elsworth	IEU-UKB	2018	1	7504749	2	https://gwas.mrcieu.ac.uk/files/ukb-b-14037/ukb-b-14037.vcf.gz		7096	TMCGP_MR31409	CAUSALdb_TMCGP_MR31409_7096
FG03834	Cancer code, self-reported: basal cell carcinoma	Carcinoma, Basal Cell	D002280	456276	4257.0	452019.0	UKB	Longda Jiang	34737426	2021	20	11842540	1532	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20001_1061.v1.0.fastGWA.gz		7097	CCSRBCC_FG03834	CAUSALdb_CCSRBCC_FG03834_7097
PE07115	orlistat	Orlistat	D000077403	420531	4289.0	416242.0	UKB	Pan-UKB team	Pan-UKB	2022	2	23861554	128	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-orlistat-both_sexes.tsv.bgz		7098	orlistat_PE07115	CAUSALdb_orlistat_PE07115_7098
AT249	M65-M68 Disorders of synovium and tendon	Joint Diseases	D007592	452264	10046.0	442218.0	UKB	Roslin Institute	30349118	2018	2	9124373	2	http://geneatlas.roslin.ed.ac.uk/		7099	MMDOSAT_AT249	CAUSALdb_MMDOSAT_AT249_7099
PE04414	3mm asymmetry index (left)	Optometry	D009907	84095			UKB	Pan-UKB team	Pan-UKB	2022	1	23816782	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/continuous-5156-both_sexes-irnt.tsv.bgz		7100	MAIL_PE04414	CAUSALdb_MAIL_PE04414_7100
F902122	Congenital malformations of great arteries	Congenitally Corrected Transposition of the Great Arteries	D000080041	373622	579.0	373043.0	EUR	Kurki MI	36653562	2023	1	20014221	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_Q17_CONGEN_MALFO_GREAT_ARTERIES.gz		7101	CMOGA_F902122	CAUSALdb_CMOGA_F902122_7101
AT624	I84 Haemorrhoids	Hemorrhoids	D006484	452264	25940.0	426324.0	UKB	Roslin Institute	30349118	2018	7	9124355	109	http://geneatlas.roslin.ed.ac.uk/		7102	IH_AT624	CAUSALdb_IH_AT624_7102
GA526	Z86 Personal history of certain other diseases	Medical History Taking	D008487	244890	45586.0	199304.0	UKB	CTGLAB	31427789	2019	3	10153961	78	https://atlas.ctglab.nl/		7103	ZPHOCOD_GA526	CAUSALdb_ZPHOCOD_GA526_7103
PE02891	Operative procedures - main OPCS4: W62.9 Unspecified other primary fusion of other joint	Surgical Procedures, Operative	D013514	420531	304.0	420227.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-W629.tsv.bgz		7104	OPMOWUOPFOOJ_PE02891	CAUSALdb_OPMOWUOPFOOJ_PE02891_7104
LD074	Forearm bone mineral density	Bone Density	D015519	8143			EUR	Zheng HF	26367794	2015	3	9530606	157	http://www.gefos.org/?q=content/data-release-2015		7105	FBMD_LD074	CAUSALdb_FBMD_LD074_7105
FG01861	Former alcohol drinker	Alcohol Drinking	D000428	30529	15997.0	14532.0	UKB	Longda Jiang	31768069	2019	1	8508275	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/3731.v1.1.fastGWA.gz		7106	FAD_FG01861	CAUSALdb_FAD_FG01861_7106
MR38961	Treatment/medication code: tamsulosin	Tamsulosin	D000077409	462933	3778.0	459155.0	UKB	Ben Elsworth	IEU-UKB	2018	1	4418652	32	https://gwas.mrcieu.ac.uk/files/ukb-b-11867/ukb-b-11867.vcf.gz		7107	TMCT_MR38961	CAUSALdb_TMCT_MR38961_7107
LD180	Concentration of very large HDL particles	Cholesterol, HDL	D008076	19273			EUR	Kettunen	27005778	2016	11	11819590	741	http://www.computationalmedicine.fi/data#NMR_GWAS		7108	COVLHP_LD180	CAUSALdb_COVLHP_LD180_7108
AT748	Waist circumference / Hip circumference	Waist-Hip Ratio	D049629	452264			UKB	Roslin Institute	30349118	2018	362	9124371	34844	http://geneatlas.roslin.ed.ac.uk/		7109	WCHC_AT748	CAUSALdb_WCHC_AT748_7109
PE02790	Operative procedures - main OPCS4: W03.2 Osteotomy of multiple metatarsals	Surgical Procedures, Operative	D013514	420531	151.0	420380.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	3	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-41200-both_sexes-W032.tsv.bgz		7110	OPMOWOOMM_PE02790	CAUSALdb_OPMOWOOMM_PE02790_7110
MR01957	Frequency of friend/family visits	Friends	D033062	459830			UKB	Ben Elsworth	IEU-UKB	2018	26	9807985	1410	https://gwas.mrcieu.ac.uk/files/ukb-b-5379/ukb-b-5379.vcf.gz		7111	FOFFV_MR01957	CAUSALdb_FOFFV_MR01957_7111
PE07036	ispaghula husk	Psyllium	D011620	420531	6805.0	413726.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23861554	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-ispaghula_husk-both_sexes.tsv.bgz		7112	IH_PE07036	CAUSALdb_IH_PE07036_7112
FG01649	Volume of grey matter in Inferior Temporal Gyrus, posterior division (right)	Temporal Lobe	D013702	13627			UKB	Longda Jiang	31768069	2019	1	8494574	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKB/25811.v1.1.fastGWA.gz		7113	VOGMIITGPDR_FG01649	CAUSALdb_VOGMIITGPDR_FG01649_7113
FG02571	Crushing or internal injury to organs	Wounds and Injuries	D014947	456348	536.0	455812.0	UKB	Longda Jiang	34737426	2021	1	11842610	1	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/1008_PheCode.v1.0.fastGWA.gz		7114	COIITO_FG02571	CAUSALdb_COIITO_FG02571_7114
F901575	Pityriasis rosea	Pityriasis Rosea	D017515	364253	182.0	364071.0	EUR	Kurki MI	36653562	2023	1	20014071	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_L12_PITYROCHEA.gz		7115	PR_F901575	CAUSALdb_PR_F901575_7115
PE07064	lysosomal pH modulator|TLR antagonist|anti-malarial	Esophageal pH Monitoring	D050782	420531	1339.0	419192.0	UKB	Pan-UKB team	Pan-UKB	2022	5	23861554	467	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/prescriptions-lysosomal_pH_modulator|TLR_antagonist|anti-malarial-both_sexes.tsv.bgz		7116	LPMTAAM_PE07064	CAUSALdb_LPMTAAM_PE07064_7116
FG03204	Illnesses of father: High blood pressure	Family Health	D005192	397379	89851.0	307528.0	UKB	Longda Jiang	34737426	2021	14	11842335	244	https://yanglab.westlake.edu.cn/resources/fastgwa_data/UKBbin/20107_8.v1.0.fastGWA.gz		7117	IOFHBP_FG03204	CAUSALdb_IOFHBP_FG03204_7117
GR132	Attention deficit-hyperactivity disorder	Attention Deficit Disorder with Hyperactivity	D001289	5422	2787.0	2635.0	EUR	PGC	23453885	2013	1	1245112	1	readme.pdf	no MAF	7118	ADHD_GR132	CAUSALdb_ADHD_GR132_7118
GD00795	Snoring	Snoring	D012913	408317	152302.0	256015.0	UKB	Campos AI	32060260	2020	41	10958843	5989	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009760	no MAF	7119	Snoring_GD00795	CAUSALdb_Snoring_GD00795_7119
GD01435	CD8 on naive CD8+ T cell	Chemokines	D018925	2910			EUR	Orrù V	32929287	2020	7	16490595	950	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002055		7120	CONCTC_GD01435	CAUSALdb_CONCTC_GD01435_7120
PA00703	Fractured/broken bones in last 5 years	Fractures, Bone	D050723	418261	40420.0	377841.0	UKB	Pan-UKB team	Pan-UKB	2022	16	23861542	816	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-2463-both_sexes-2463.tsv.bgz		7121	FBBILY_PA00703	CAUSALdb_FBBILY_PA00703_7121
MR33785	Diagnoses - secondary ICD10: K29.8 Duodenitis	Duodenitis	D004382	463010	4640.0	458370.0	UKB	Ben Elsworth	IEU-UKB	2018	1	4761610	45	https://gwas.mrcieu.ac.uk/files/ukb-b-20017/ukb-b-20017.vcf.gz		7122	DSIKD_MR33785	CAUSALdb_DSIKD_MR33785_7122
GCST90020195	Inferior Posterior lobe of cerebellar volume (including Crus II to IX vermal lobules)	Posterior Cerebellar Commissure	D066243	33251			EUR	Chambers T	35079123	2022	28	6193161	707	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90021-GCST90021000/GCST90020195	no MAF	7123	IPLOCVICITIVL_GCST90020195	CAUSALdb_IPLOCVICITIVL_GCST90020195_7123
PE01441	Illnesses of father: Chronic bronchitis/emphysema	Family Health	D005192	366753	42653.0	324100.0	UKB	Pan-UKB team	Pan-UKB	2022	7	23860785	246	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20107-both_sexes-6.tsv.bgz		7124	IOFCBE_PE01441	CAUSALdb_IOFCBE_PE01441_7124
F900201	Neuroendocrine tumor and carcinoma of pancreas (controls excluding all cancers)	Neoplasms	D009369	287259	122.0	287137.0	EUR	Kurki MI	36653562	2023	1	20011601	1	https://storage.googleapis.com/finngen-public-data-r9/summary_stats/finngen_R9_C3_PANCREAS_NEUROENDOCRINE_EXALLC.gz		7125	NTACOPCEAC_F900201	CAUSALdb_NTACOPCEAC_F900201_7125
PE01382	Type of sliced bread eaten: mixed	Bread	D001939	58890	11810.0	47080.0	UKB	Pan-UKB team	Pan-UKB	2022	1	23734928	1	https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20091-both_sexes-2.tsv.bgz		7126	TOSBEM_PE01382	CAUSALdb_TOSBEM_PE01382_7126
