f_tf_name	f_tf_id	f_family	f_protein	f_entrez_id
ZNF335	ENSG00000198026	zf-C2H2	ENSP00000325326.2;	63925
RARB	ENSG00000077092	THR-like	ENSP00000510539.1;ENSP00000510073.1;ENSP00000508421.1;ENSP00000508527.1;ENSP00000332296.4;ENSP00000510044.1;ENSP00000510647.1;ENSP00000510313.1;ENSP00000509681.1;ENSP00000398840.2;ENSP00000391391.1;ENSP00000510520.1;ENSP00000510200.1;ENSP00000373282.5;ENSP00000510650.1;ENSP00000508498.1;ENSP00000508588.1;ENSP00000510405.1;ENSP00000508755.1;	5915
ZFP1	ENSG00000184517	zf-C2H2	ENSP00000457044.1;ENSP00000333192.4;ENSP00000377080.2;	162239
NR2F6	ENSG00000160113	RXR-like	ENSP00000291442.2;ENSP00000471686.1;	2063
SIX5	ENSG00000177045	Homeobox	ENSP00000316842.4;ENSP00000453239.2;	
PAXBP1	ENSG00000159086	GCFC	ENSP00000290178.4;ENSP00000328992.4;	94104
ZNF879	ENSG00000234284	zf-C2H2	ENSP00000414887.2;	345462
ZFP62	ENSG00000196670	zf-C2H2	ENSP00000426193.1;ENSP00000422987.1;ENSP00000423820.1;	643836
HOXA9	ENSG00000078399	Homeobox	ENSP00000500958.1;ENSP00000501229.1;ENSP00000343619.6;	3205
NFIX	ENSG00000008441	CTF_NFI	ENSP00000466735.1;ENSP00000466389.1;ENSP00000468794.1;ENSP00000502554.1;ENSP00000467785.1;ENSP00000467512.1;ENSP00000481181.2;ENSP00000353219.4;ENSP00000465616.1;ENSP00000351354.5;ENSP00000509710.1;ENSP00000465094.1;ENSP00000468707.1;ENSP00000380781.2;	4784
PAX8	ENSG00000125618	PAX	ENSP00000263334.6;ENSP00000505425.1;ENSP00000380768.3;ENSP00000263335.7;ENSP00000314750.5;ENSP00000395498.3;	7849
ZNF235	ENSG00000159917	zf-C2H2	ENSP00000291182.3;ENSP00000497018.1;	9310
FOXP3	ENSG00000049768	Fork_head	ENSP00000451208.1;ENSP00000396415.3;ENSP00000365372.2;ENSP00000365380.4;ENSP00000428952.2;	50943
FOXO1	ENSG00000150907	Fork_head	ENSP00000368880.4;	2308
KLF1	ENSG00000105610	zf-C2H2	ENSP00000264834.3;	10661
ZNF800	ENSG00000048405	zf-C2H2	ENSP00000376988.1;ENSP00000376989.1;ENSP00000265827.3;	168850
CSRNP3	ENSG00000178662	CSRNP_N	ENSP00000344042.4;ENSP00000387195.1;ENSP00000498841.1;ENSP00000412081.1;ENSP00000386278.1;ENSP00000318258.7;	80034
ZNF577	ENSG00000161551	zf-C2H2	ENSP00000491349.1;ENSP00000491936.2;ENSP00000389652.2;ENSP00000301399.5;	84765
ZNF555	ENSG00000186300	zf-C2H2	ENSP00000467893.1;ENSP00000334853.3;	148254
ZFAT	ENSG00000066827	zf-C2H2	ENSP00000367069.3;ENSP00000394501.2;ENSP00000429930.1;ENSP00000427831.1;ENSP00000427879.1;ENSP00000429091.1;ENSP00000428483.1;ENSP00000430924.1;	57623
ELK4	ENSG00000158711	ETS	ENSP00000289703.4;ENSP00000350681.4;ENSP00000484946.1;ENSP00000483628.1;	2005
CEBPE	ENSG00000092067	TF_bZIP	ENSP00000206513.5;	1053
ZBTB33	ENSG00000177485	ZBTB	ENSP00000314153.2;ENSP00000314153.2;ENSP00000450969.1;	10009
THRA	ENSG00000126351	THR-like	ENSP00000462955.1;ENSP00000464123.1;ENSP00000443972.1;ENSP00000395641.3;ENSP00000463466.1;ENSP00000377679.4;ENSP00000264637.4;	7067
ZBTB18	ENSG00000179456	ZBTB	ENSP00000481278.1;ENSP00000481278.1;ENSP00000351539.4;ENSP00000351539.4;	10472
ZNF227	ENSG00000131115	zf-C2H2	ENSP00000321049.6;ENSP00000467577.1;ENSP00000482749.1;ENSP00000375823.2;	7770
ZNF445	ENSG00000185219	zf-C2H2	ENSP00000379387.2;ENSP00000413073.2;	353274
ONECUT2	ENSG00000119547	CUT	ENSP00000419185.2;	
HSFX3	ENSG00000283697	HSF	ENSP00000490928.1;	101928917
MAX	ENSG00000125952	bHLH	ENSP00000452197.1;ENSP00000378104.2;ENSP00000451907.1;ENSP00000351490.4;ENSP00000450818.1;ENSP00000452286.1;ENSP00000246163.2;ENSP00000498863.1;ENSP00000284165.6;ENSP00000480127.1;ENSP00000342482.2;ENSP00000351175.4;ENSP00000452378.1;	4149
ZBTB16	ENSG00000109906	ZBTB	ENSP00000506794.1;ENSP00000506794.1;ENSP00000506924.1;ENSP00000506924.1;ENSP00000376721.2;ENSP00000376721.2;ENSP00000506953.1;ENSP00000506953.1;ENSP00000508351.1;ENSP00000508351.1;ENSP00000506894.1;ENSP00000506894.1;ENSP00000507219.1;ENSP00000507219.1;ENSP00000507788.1;ENSP00000507788.1;ENSP00000507350.1;ENSP00000507350.1;ENSP00000506995.1;ENSP00000338157.4;	7704
VEZF1	ENSG00000136451	zf-C2H2	ENSP00000462337.1;ENSP00000258963.3;ENSP00000464687.1;	7716
HMX3	ENSG00000188620	Homeobox	ENSP00000350549.4;	340784
ZNF479	ENSG00000185177	zf-C2H2	ENSP00000324518.6;ENSP00000333776.4;	90827
ZBTB12	ENSG00000204366	ZBTB	ENSP00000364677.2;ENSP00000364677.2;	221527
HOXD3	ENSG00000128652	Homeobox	ENSP00000386498.1;ENSP00000507129.1;ENSP00000249440.2;	3232
EBF4	ENSG00000088881	COE	ENSP00000501430.1;ENSP00000477023.1;ENSP00000501336.1;ENSP00000405003.3;ENSP00000370022.4;ENSP00000501409.1;	57593
PAX5	ENSG00000196092	PAX	ENSP00000367071.2;ENSP00000429637.1;ENSP00000367084.2;ENSP00000367078.2;ENSP00000429291.1;ENSP00000412188.1;ENSP00000350844.4;ENSP00000404687.1;ENSP00000367083.2;ENSP00000498443.1;ENSP00000430773.1;ENSP00000429359.1;ENSP00000431038.1;ENSP00000429197.1;	5079
ZNF808	ENSG00000198482	zf-C2H2	ENSP00000352846.4;ENSP00000420522.1;	388558
ZNF284	ENSG00000186026	zf-C2H2	ENSP00000411032.2;	342909
ZNF229	ENSG00000278318	zf-C2H2	ENSP00000479884.1;ENSP00000479807.1;	7772
ZNF821	ENSG00000102984	zf-C2H2	ENSP00000458112.1;	55565
MLX	ENSG00000108788	bHLH	ENSP00000416627.1;ENSP00000246912.3;ENSP00000464697.1;ENSP00000320913.3;	6945
IRF7	ENSG00000185507	IRF	ENSP00000331803.9;ENSP00000497234.1;ENSP00000432403.1;ENSP00000434524.1;ENSP00000436696.1;ENSP00000380697.1;ENSP00000434009.2;ENSP00000329411.5;ENSP00000497888.1;ENSP00000433903.1;ENSP00000434607.1;ENSP00000380700.2;ENSP00000497421.1;	3665
NKX3-2	ENSG00000109705	Homeobox	ENSP00000371875.5;	579
FOXP4	ENSG00000137166	Fork_head	ENSP00000309823.4;ENSP00000386958.1;ENSP00000362148.3;ENSP00000362154.3;	116113
NFE2L2	ENSG00000116044	TF_bZIP	ENSP00000391590.1;ENSP00000411575.2;ENSP00000467401.1;ENSP00000380252.3;ENSP00000380253.4;	4780
HSF5	ENSG00000176160	HSF	ENSP00000313243.3;	124535
ZNF554	ENSG00000172006	zf-C2H2	ENSP00000321132.4;	115196
ZNF248	ENSG00000198105	zf-C2H2	ENSP00000379208.3;ENSP00000349882.4;	57209
ZNF674	ENSG00000251192	zf-C2H2	ENSP00000429148.1;ENSP00000428248.1;ENSP00000506769.1;	641339
CREB1	ENSG00000118260	TF_bZIP	ENSP00000236995.3;ENSP00000405539.1;ENSP00000387699.2;	1385
HES3	ENSG00000173673	bHLH	ENSP00000367130.3;	390992
NR0B1	ENSG00000169297	Miscellaneous	ENSP00000368253.4;ENSP00000368246.1;	190
TOX4	ENSG00000092203	HMG	ENSP00000393080.3;ENSP00000477868.1;	9878
ATF6B	ENSG00000213676	TF_bZIP	ENSP00000364349.3;ENSP00000364347.4;ENSP00000393419.2;	1388
IRX1	ENSG00000170549	Homeobox	ENSP00000305244.3;	79192
ZBTB7A	ENSG00000178951	ZBTB	ENSP00000471865.1;ENSP00000471865.1;ENSP00000323670.3;ENSP00000323670.3;	51341
ZNF292	ENSG00000188994	zf-C2H2	ENSP00000358590.3;ENSP00000342847.4;ENSP00000428857.1;	23036
ASCL1	ENSG00000139352	bHLH	ENSP00000266744.3;	
NR1H2	ENSG00000131408	THR-like	ENSP00000469778.1;ENSP00000472526.1;ENSP00000471194.1;ENSP00000396151.2;ENSP00000471294.1;ENSP00000472138.1;ENSP00000470518.1;ENSP00000472271.1;ENSP00000499121.1;ENSP00000253727.4;	7376
AFF3	ENSG00000144218	AF-4	ENSP00000395068.1;ENSP00000387207.1;ENSP00000386834.1;ENSP00000406484.1;ENSP00000399795.1;ENSP00000393732.2;ENSP00000500860.1;ENSP00000414099.1;ENSP00000500419.1;ENSP00000500270.1;ENSP00000500616.1;ENSP00000500310.1;ENSP00000396582.2;ENSP00000500612.1;ENSP00000317421.4;ENSP00000411383.1;ENSP00000500634.1;	3899
HSFX1	ENSG00000171116	HSF	ENSP00000359444.4;	100506164
CDX2	ENSG00000165556	Homeobox	ENSP00000370408.6;	1045
ZSCAN5B	ENSG00000197213	zf-C2H2	ENSP00000466072.2;	342933
SCRT1	ENSG00000261678	zf-C2H2	ENSP00000455711.1;	83482
ZNF384	ENSG00000126746	zf-C2H2	ENSP00000321650.4;ENSP00000473311.1;ENSP00000412911.2;ENSP00000380019.3;ENSP00000354592.3;ENSP00000399572.3;ENSP00000507462.1;ENSP00000348018.4;	171017
ZNF749	ENSG00000186230	zf-C2H2	ENSP00000333980.4;	388567
POU6F1	ENSG00000184271	Pou	ENSP00000448389.2;ENSP00000330190.11;	5463
HSFY2	ENSG00000169953	HSF	ENSP00000340971.4;ENSP00000372303.1;ENSP00000306549.3;	159119
GATA4	ENSG00000136574	zf-GATA	ENSP00000435712.1;ENSP00000482268.2;ENSP00000435043.1;ENSP00000435347.1;ENSP00000334458.4;	2626
ZNF317	ENSG00000130803	zf-C2H2	ENSP00000353554.2;ENSP00000247956.5;	57693
MSC	ENSG00000178860	bHLH	ENSP00000321445.4;	9242
PPARA	ENSG00000186951	THR-like	ENSP00000414752.1;ENSP00000385246.1;ENSP00000385523.1;	5465
FOXD4	ENSG00000170122	Fork_head	ENSP00000371940.2;	2298
GTF2IRD2B	ENSG00000174428	GTF2I	ENSP00000411454.3;ENSP00000499147.1;ENSP00000480037.1;ENSP00000480524.1;	389524
ZNF738	ENSG00000172687	zf-C2H2	ENSP00000507366.1;	148203
STAT5B	ENSG00000173757	STAT	ENSP00000293328.3;	6777
KLF15	ENSG00000163884	zf-C2H2	ENSP00000296233.3;	28999
ZNF835	ENSG00000127903	zf-C2H2	ENSP00000444747.1;	90485
TAL1	ENSG00000162367	bHLH	ENSP00000294339.3;ENSP00000360951.1;ENSP00000510655.1;	6886
ZNF708	ENSG00000182141	zf-C2H2	ENSP00000349401.2;ENSP00000469961.1;	7562
PHOX2B	ENSG00000109132	Homeobox	ENSP00000226382.2;	8929
TCF7L1	ENSG00000152284	HMG	ENSP00000282111.3;	83439
POU2F3	ENSG00000137709	Pou	ENSP00000441687.2;ENSP00000260264.4;ENSP00000453150.2;	25833
TSC22D3	ENSG00000157514	TSC22	ENSP00000314655.4;ENSP00000361459.2;ENSP00000361466.4;ENSP00000361458.4;ENSP00000510224.1;ENSP00000361474.2;ENSP00000361457.4;ENSP00000427427.1;ENSP00000425414.1;ENSP00000421016.1;	1831
TGIF2LX	ENSG00000153779	Homeobox	ENSP00000355119.4;ENSP00000453704.1;	90316
NR3C1	ENSG00000113580	ESR-like	ENSP00000387672.2;ENSP00000427672.1;ENSP00000498663.1;ENSP00000377977.2;ENSP00000422518.1;ENSP00000405282.2;ENSP00000377979.2;ENSP00000231509.3;ENSP00000343205.2;	2908
BARX2	ENSG00000043039	Homeobox	ENSP00000281437.4;	8538
PRDM10	ENSG00000170325	zf-C2H2	ENSP00000398431.2;ENSP00000351686.5;ENSP00000431262.1;ENSP00000302669.6;ENSP00000354118.3;ENSP00000432237.1;	56980
ZNF175	ENSG00000105497	zf-C2H2	ENSP00000262259.2;	7728
ARID4B	ENSG00000054267	ARID	ENSP00000264183.3;ENSP00000391497.1;ENSP00000264184.4;ENSP00000394663.1;ENSP00000355562.2;	51742
ZNF605	ENSG00000196458	zf-C2H2	ENSP00000376135.3;ENSP00000353314.3;	100289635
LYL1	ENSG00000104903	bHLH	ENSP00000264824.3;	4066
ANHX	ENSG00000227059	Homeobox	ENSP00000409950.1;ENSP00000439513.2;	647589
ZBTB21	ENSG00000173276	ZBTB	ENSP00000381523.3;ENSP00000381517.3;ENSP00000381512.1;ENSP00000308759.5;	49854
ZNF174	ENSG00000103343	zf-C2H2	ENSP00000460397.1;ENSP00000268655.4;	7727
ZXDB	ENSG00000198455	zf-C2H2	ENSP00000364023.1;	158586
ZNF282	ENSG00000170265	zf-C2H2	ENSP00000477841.1;	8427
ZNF827	ENSG00000151612	zf-C2H2	ENSP00000421863.1;ENSP00000499364.1;ENSP00000498532.1;ENSP00000499840.1;ENSP00000424541.2;ENSP00000499867.1;ENSP00000424456.2;ENSP00000499383.2;ENSP00000368761.4;ENSP00000423130.1;	152485
ZNF784	ENSG00000179922	zf-C2H2	ENSP00000320096.2;	147808
ZNF696	ENSG00000185730	zf-C2H2	ENSP00000427857.1;ENSP00000328515.3;	79943
CDX4	ENSG00000131264	Homeobox	ENSP00000362613.1;	1046
ZBTB14	ENSG00000198081	ZBTB	ENSP00000349503.4;ENSP00000349503.4;ENSP00000484129.1;ENSP00000383009.3;ENSP00000478971.1;ENSP00000463555.1;ENSP00000462112.1;ENSP00000499212.1;ENSP00000463414.1;	7541
MLXIPL	ENSG00000009950	bHLH	ENSP00000392636.1;ENSP00000320886.3;ENSP00000412330.2;	51085
ZNF599	ENSG00000153896	zf-C2H2	ENSP00000333802.6;	148103
HSFY1	ENSG00000172468	HSF	ENSP00000342302.4;ENSP00000372307.2;ENSP00000303599.2;ENSP00000311166.4;	86614
ZBTB7C	ENSG00000184828	ZBTB	ENSP00000468254.1;ENSP00000468254.1;ENSP00000468782.1;ENSP00000468782.1;ENSP00000467877.1;ENSP00000467877.1;ENSP00000439781.1;ENSP00000439781.1;	201501
ZFP3	ENSG00000180787	zf-C2H2	ENSP00000320347.3;	
ELF2	ENSG00000109381	ETS	ENSP00000368867.2;ENSP00000377782.1;ENSP00000510098.1;ENSP00000426087.1;ENSP00000351458.2;ENSP00000368868.1;ENSP00000426997.1;	1998
NFYC	ENSG00000066136	NF-YC	ENSP00000361738.1;ENSP00000408867.2;ENSP00000361737.1;ENSP00000361754.4;ENSP00000361734.1;ENSP00000312617.5;ENSP00000433413.1;ENSP00000436710.1;ENSP00000409219.2;ENSP00000434404.1;ENSP00000404427.3;ENSP00000414299.2;ENSP00000396620.2;ENSP00000408315.2;ENSP00000433820.1;ENSP00000416403.1;ENSP00000397647.1;ENSP00000361736.1;	4802
ZNF182	ENSG00000147118	zf-C2H2	ENSP00000366142.4;ENSP00000380165.1;	7569
LBX1	ENSG00000138136	Homeobox	ENSP00000359212.2;	10660
HOXA4	ENSG00000197576	Homeobox	ENSP00000479166.1;ENSP00000448015.1;ENSP00000408845.2;ENSP00000353151.5;	3201
THAP3	ENSG00000041988	THAP	ENSP00000464954.1;ENSP00000366854.3;ENSP00000473646.1;ENSP00000054650.4;ENSP00000311537.6;	90326
FOXA2	ENSG00000125798	Fork_head	ENSP00000366319.4;ENSP00000400341.3;	3170
ZFP82	ENSG00000181007	zf-C2H2	ENSP00000431265.1;	284406
SOX21	ENSG00000125285	HMG	ENSP00000366144.2;	11166
NR2C2	ENSG00000177463	RXR-like	ENSP00000388387.1;ENSP00000384463.2;ENSP00000483059.1;ENSP00000412473.1;ENSP00000413438.1;ENSP00000320447.6;ENSP00000376814.3;ENSP00000401807.1;	7182
ZNF286A	ENSG00000187607	zf-C2H2	ENSP00000464218.1;ENSP00000397163.1;ENSP00000466154.1;ENSP00000464063.1;	
HMX2	ENSG00000188816	Homeobox	ENSP00000341108.3;	3167
ZNF155	ENSG00000204920	zf-C2H2	ENSP00000481677.1;ENSP00000465691.1;ENSP00000270014.1;ENSP00000385163.2;	7711
ZNF138	ENSG00000197008	zf-C2H2	ENSP00000399528.1;ENSP00000303533.7;ENSP00000407262.2;	
LMX1B	ENSG00000136944	Homeobox	ENSP00000436930.1;ENSP00000347684.5;ENSP00000362573.3;	4010
MLXIP	ENSG00000175727	bHLH	ENSP00000312834.6;ENSP00000440769.1;ENSP00000445891.1;ENSP00000444507.1;	22877
RFX7	ENSG00000181827	RFX	ENSP00000453611.4;ENSP00000453281.3;ENSP00000501278.1;ENSP00000501248.1;ENSP00000453376.2;ENSP00000501249.1;	64864
ZNF224	ENSG00000267680	zf-C2H2	ENSP00000509045.1;ENSP00000337368.5;ENSP00000508532.1;	7767
ZNF586	ENSG00000083828	zf-C2H2	ENSP00000379458.1;ENSP00000375583.3;	54807
ZNF366	ENSG00000178175	zf-C2H2	ENSP00000313158.5;	
HIC1	ENSG00000177374	ZBTB	ENSP00000382742.2;ENSP00000382742.2;ENSP00000314080.3;ENSP00000314080.3;ENSP00000477858.1;ENSP00000467045.1;ENSP00000460268.1;	3090
CREB3L3	ENSG00000060566	TF_bZIP	ENSP00000472399.1;ENSP00000078445.1;ENSP00000469355.1;	84699
ZNF551	ENSG00000204519	zf-C2H2	ENSP00000472674.1;ENSP00000282296.5;	90233
TFAP2B	ENSG00000008196	AP-2	ENSP00000377265.2;	7021
FOXN1	ENSG00000109101	Fork_head	ENSP00000464645.1;ENSP00000226247.2;	8456
GSC2	ENSG00000063515	Homeobox	ENSP00000086933.2;	2928
CUX1	ENSG00000257923	CUT	ENSP00000447373.2;ENSP00000450125.3;ENSP00000292535.7;ENSP00000353401.3;ENSP00000496653.1;ENSP00000494610.1;ENSP00000451558.1;ENSP00000446630.2;	1523
SOX8	ENSG00000005513	HMG	ENSP00000293894.3;	
SSRP1	ENSG00000149136	HMG	ENSP00000489564.1;ENSP00000278412.2;	6749
ZNF213	ENSG00000085644	zf-C2H2	ENSP00000459177.1;ENSP00000460157.1;ENSP00000380087.3;ENSP00000459293.1;ENSP00000403892.3;	7760
NR6A1	ENSG00000148200	GCNF-like	ENSP00000413701.2;ENSP00000420587.1;ENSP00000362686.3;ENSP00000341135.4;ENSP00000420267.1;	2649
NOTO	ENSG00000214513	Homeobox	ENSP00000381486.3;	344022
ZNF780B	ENSG00000128000	zf-C2H2	ENSP00000221355.6;ENSP00000391641.1;	163131
SP100	ENSG00000067066	SAND	ENSP00000343023.4;ENSP00000386427.1;ENSP00000393679.1;ENSP00000264052.5;	6672
THAP2	ENSG00000173451	THAP	ENSP00000310796.2;	83591
ZNF343	ENSG00000088876	zf-C2H2	ENSP00000483851.1;ENSP00000482819.1;ENSP00000278772.4;	79175
ZIC1	ENSG00000152977	zf-C2H2	ENSP00000282928.4;ENSP00000419664.1;	7545
ETV6	ENSG00000139083	ETS	ENSP00000266427.3;ENSP00000379658.3;	2120
ID4	ENSG00000172201	bHLH	ENSP00000367972.3;	
ZNF70	ENSG00000187792	zf-C2H2	ENSP00000339314.3;	
ZNF525	ENSG00000203326	zf-C2H2	ENSP00000417696.1;ENSP00000419136.1;	170958
MNX1	ENSG00000130675	Homeobox	ENSP00000401158.1;ENSP00000252971.5;ENSP00000438552.1;	3110
SOHLH1	ENSG00000165643	bHLH	ENSP00000404438.1;ENSP00000298466.5;	402381
ZNF723	ENSG00000268696	zf-C2H2	ENSP00000494306.1;	646864
UBP1	ENSG00000153560	CP2	ENSP00000283629.3;ENSP00000395558.2;ENSP00000401614.1;ENSP00000283628.5;	7342
PRDM12	ENSG00000130711	zf-C2H2	ENSP00000502471.1;ENSP00000253008.2;	59335
ZBTB38	ENSG00000177311	ZBTB	ENSP00000490370.1;ENSP00000490370.1;ENSP00000424254.1;ENSP00000424254.1;ENSP00000426387.1;ENSP00000426387.1;ENSP00000422894.1;ENSP00000406955.2;ENSP00000422347.1;ENSP00000421037.1;ENSP00000490041.1;ENSP00000425705.1;ENSP00000372635.5;ENSP00000426288.1;ENSP00000422757.1;	253461
ZNF76	ENSG00000065029	zf-C2H2	ENSP00000419106.1;ENSP00000363064.3;ENSP00000344097.5;	7629
ZNF277	ENSG00000198839	zf-C2H2	ENSP00000390359.1;ENSP00000354501.3;ENSP00000402292.1;	11179
CDC5L	ENSG00000096401	MYB	ENSP00000360532.3;	
NFIL3	ENSG00000165030	TF_bZIP	ENSP00000297689.2;	4783
ZNF25	ENSG00000175395	zf-C2H2	ENSP00000302222.7;	219749
ZNF771	ENSG00000179965	zf-C2H2	ENSP00000323945.5;ENSP00000416197.1;	51333
ZMIZ1	ENSG00000108175	zf-MIZ	ENSP00000334474.5;	57178
HNF4A	ENSG00000101076	RXR-like	ENSP00000507389.1;ENSP00000507555.1;ENSP00000412111.1;ENSP00000476609.1;ENSP00000410911.2;ENSP00000476310.1;ENSP00000396216.1;ENSP00000312987.3;ENSP00000481331.2;ENSP00000315180.4;ENSP00000507189.1;	3172
SIX4	ENSG00000100625	Homeobox	ENSP00000216513.4;ENSP00000450761.3;	
ZNF354B	ENSG00000178338	zf-C2H2	ENSP00000327143.3;	117608
ZNF564	ENSG00000249709	zf-C2H2	ENSP00000340004.6;	163050
ZSCAN1	ENSG00000152467	zf-C2H2	ENSP00000282326.1;	284312
ZBTB4	ENSG00000174282	ZBTB	ENSP00000369973.4;ENSP00000369973.4;ENSP00000307858.4;ENSP00000307858.4;	57659
TBX19	ENSG00000143178	T-box	ENSP00000397540.1;ENSP00000356795.3;	9095
HOXD9	ENSG00000128709	Homeobox	ENSP00000249499.6;	3235
TCF7L2	ENSG00000148737	HMG	ENSP00000486891.1;ENSP00000358393.2;ENSP00000277945.7;ENSP00000347949.4;ENSP00000446238.2;ENSP00000444972.2;ENSP00000344823.5;ENSP00000358404.4;ENSP00000358402.2;ENSP00000446172.1;ENSP00000440547.2;ENSP00000443626.2;ENSP00000348274.4;ENSP00000490260.1;ENSP00000435694.1;ENSP00000443883.2;ENSP00000487507.1;	6934
ZNF165	ENSG00000197279	zf-C2H2	ENSP00000507525.1;ENSP00000366542.1;	7718
ZNF485	ENSG00000198298	zf-C2H2	ENSP00000363558.3;ENSP00000354694.3;	220992
NFKB1	ENSG00000109320	RHD	ENSP00000426147.1;ENSP00000423877.1;ENSP00000424815.1;ENSP00000420904.1;ENSP00000469340.1;ENSP00000424790.1;ENSP00000378297.4;ENSP00000498904.1;ENSP00000499031.1;ENSP00000226574.4;	4790
AIRE	ENSG00000160224	SAND	ENSP00000291582.5;	326
ATMIN	ENSG00000166454	zf-C2H2	ENSP00000464427.1;	23300
HMGXB3	ENSG00000113716	HMG	ENSP00000421917.1;ENSP00000479027.1;ENSP00000422231.1;	22993
ZNF19	ENSG00000157429	zf-C2H2	ENSP00000458105.1;ENSP00000454864.1;ENSP00000288177.5;ENSP00000462810.1;	7567
SALL3	ENSG00000256463	zf-C2H2	ENSP00000439975.3;ENSP00000461451.1;ENSP00000458360.2;ENSP00000441823.2;	
HOPX	ENSG00000171476	Homeobox	ENSP00000450527.1;ENSP00000396275.1;ENSP00000452098.1;ENSP00000452003.1;ENSP00000452340.1;ENSP00000337330.7;ENSP00000424101.2;ENSP00000370659.2;ENSP00000315198.7;ENSP00000422175.2;ENSP00000370654.3;ENSP00000451794.1;	84525
ZNF157	ENSG00000147117	zf-C2H2	ENSP00000366273.4;	7712
ZNF263	ENSG00000006194	zf-C2H2	ENSP00000444497.1;ENSP00000461755.1;ENSP00000219069.5;ENSP00000461146.1;	
ETV3L	ENSG00000253831	ETS	ENSP00000500322.1;ENSP00000500028.1;ENSP00000430271.1;ENSP00000500154.1;	440695
PRDM5	ENSG00000138738	zf-C2H2	ENSP00000264808.3;ENSP00000424861.1;ENSP00000404832.2;ENSP00000422309.1;	
HHEX	ENSG00000152804	Homeobox	ENSP00000450017.1;ENSP00000282728.5;ENSP00000447953.1;	
ZNF680	ENSG00000173041	zf-C2H2	ENSP00000309330.6;	340252
DLX6	ENSG00000006377	Homeobox	ENSP00000451635.1;ENSP00000428480.2;	1750
BARHL2	ENSG00000143032	Homeobox	ENSP00000359474.3;	
ZNF33B	ENSG00000196693	zf-C2H2	ENSP00000352444.2;ENSP00000481265.1;	7582
ZNF793	ENSG00000188227	zf-C2H2	ENSP00000396402.1;ENSP00000468605.1;ENSP00000487183.2;	390927
RFX8	ENSG00000196460	RFX	ENSP00000494216.1;ENSP00000494249.1;ENSP00000422968.1;ENSP00000424661.1;	731220
ZNF433	ENSG00000197647	zf-C2H2	ENSP00000448806.2;ENSP00000448233.2;ENSP00000339767.6;ENSP00000448099.2;ENSP00000393416.2;ENSP00000447951.2;ENSP00000414857.3;ENSP00000447205.2;	163059
ZNF764	ENSG00000169951	zf-C2H2	ENSP00000252797.2;ENSP00000378526.2;	92595
HSF1	ENSG00000185122	HSF	ENSP00000436616.1;ENSP00000383590.5;ENSP00000431512.1;	3297
ZBTB40	ENSG00000184677	ZBTB	ENSP00000384527.1;ENSP00000384527.1;ENSP00000364798.4;ENSP00000364798.4;ENSP00000363782.4;ENSP00000496988.1;ENSP00000383098.2;	9923
TCF7	ENSG00000081059	HMG	ENSP00000429547.1;ENSP00000378472.1;ENSP00000340347.5;ENSP00000367822.4;ENSP00000378469.1;ENSP00000429935.1;ENSP00000429178.1;ENSP00000427968.1;ENSP00000430179.1;	6932
ZNF132	ENSG00000131849	zf-C2H2	ENSP00000254166.2;	7691
KLF8	ENSG00000102349	zf-C2H2	ENSP00000417303.1;	11279
FOXI3	ENSG00000214336	Fork_head	ENSP00000478384.2;	344167
NEUROG3	ENSG00000122859	bHLH	ENSP00000242462.4;	50674
DACH1	ENSG00000276644	DACH	ENSP00000482493.1;ENSP00000482797.1;ENSP00000481551.1;ENSP00000482245.1;	1602
FOXO3B	ENSG00000240445	Fork_head	ENSP00000499455.1;	
ZHX1	ENSG00000165156	Homeobox	ENSP00000428821.1;ENSP00000378938.2;ENSP00000297857.2;	11244
THAP5	ENSG00000177683	THAP	ENSP00000415841.1;ENSP00000322440.5;ENSP00000400500.2;	168451
ETV7	ENSG00000010030	ETS	ENSP00000342260.5;ENSP00000484485.1;ENSP00000362842.4;ENSP00000362843.1;ENSP00000341843.4;ENSP00000440592.1;ENSP00000486712.1;ENSP00000481885.1;	51513
ZNF836	ENSG00000196267	zf-C2H2	ENSP00000470239.1;ENSP00000507838.1;	162962
NCOR1	ENSG00000141027	MYB	ENSP00000268712.2;ENSP00000379189.1;ENSP00000379192.1;	9611
KLF16	ENSG00000129911	zf-C2H2	ENSP00000483701.1;ENSP00000250916.3;ENSP00000439973.1;ENSP00000480570.1;	83855
RFX1	ENSG00000132005	RFX	ENSP00000254325.3;	5989
KMT2C	ENSG00000055609	HMG	ENSP00000506154.1;ENSP00000507485.1;ENSP00000262189.6;ENSP00000505058.1;ENSP00000353218.4;ENSP00000508052.1;ENSP00000507142.1;ENSP00000507665.1;ENSP00000505951.1;	58508
ZNF768	ENSG00000169957	zf-C2H2	ENSP00000456527.1;ENSP00000369777.5;	79724
ZNF254	ENSG00000213096	zf-C2H2	ENSP00000484930.1;ENSP00000482703.1;ENSP00000483222.1;ENSP00000349494.3;	9534
ZBTB1	ENSG00000126804	ZBTB	ENSP00000451000.1;ENSP00000451000.1;ENSP00000451584.1;ENSP00000506911.1;	22890
ARNTL	ENSG00000133794	bHLH	ENSP00000433571.2;ENSP00000384517.1;ENSP00000385915.2;ENSP00000385581.4;ENSP00000501212.1;ENSP00000385897.3;ENSP00000431488.1;ENSP00000374357.4;	406
GATA6	ENSG00000141448	zf-GATA	ENSP00000462313.1;ENSP00000269216.3;	2627
