trait	trait_abbr	category	num_cases	num_cases_prev	num_controls	num_gw_significant	num_gw_significant_prev	lambda	url
Congenital malformations of cardiac chambers and connections	Q17_CONGEN_MALFO_CARDIAC_CHAMB_CONNECTIO	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	187	176.0	448451	0	0.0	0.64949	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_Q17_CONGEN_MALFO_CARDIAC_CHAMB_CONNECTIO.FINEMAP.snp.bgz
Congenital malformations of breast	Q17_CONGEN_MALFO_BREAST	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	555	479.0	450595	0	0.0	0.91352	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_Q17_CONGEN_MALFO_BREAST.FINEMAP.snp.bgz
Congenital malformation of biliary tract	Q17_CONGEN_MALFO_BILI	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	74	63.0	453659	0	0.0	0.42149	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_Q17_CONGEN_MALFO_BILI.FINEMAP.snp.bgz
Congenital ichthyosis	Q17_CONGEN_ICHTHYOSIS	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	97	92.0	450595	0	0.0	0.49387	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_Q17_CONGEN_ICHTHYOSIS.FINEMAP.snp.bgz
Congenital deformities of hip	Q17_CONGEN_DEFORMITI_HIP	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	601	518.0	450500	0	0.0	0.92381	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_Q17_CONGEN_DEFORMITI_HIP.FINEMAP.snp.bgz
Complex cardiac defects	Q17_COMPLEX_CARD_DEFEC	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	185	172.0	453548	0	0.0	0.65391	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_Q17_COMPLEX_CARD_DEFEC.FINEMAP.snp.bgz
Cleft lip	Q17_CLEFT_LIP	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	104	85.0	453176	0	0.0	0.51153	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_Q17_CLEFT_LIP.FINEMAP.snp.bgz
Chromosomal abnormalities, not elsewhere classified	Q17_CHROMOSOMAL_ABNORMALITI_NOT_ELSEW_CLASSIFIED	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	586	526.0	453147	0	0.0	0.92743	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_Q17_CHROMOSOMAL_ABNORMALITI_NOT_ELSEW_CLASSIFIED.FINEMAP.snp.bgz
Atrioventricular septal defect	Q17_AVSD	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	126	114.0	453607	0	0.0	0.55744	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_Q17_AVSD.FINEMAP.snp.bgz
Phlebitis and thrombophlebitis of superficial vessels of lower extremities, drug-induced	PHLEBI_THROMBOP_SUPERF_VESSE_LOWER_EXTREMITI	IX Diseases of the circulatory system (I9_)	94	88.0	453639	0	0.0	0.48784	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_PHLEBI_THROMBOP_SUPERF_VESSE_LOWER_EXTREMITI.FINEMAP.snp.bgz
Phlebitis and thrombophlebitis of other deep vessels of lower extremities, drug-induced	PHLEBI_THROMBOP_OTHER_DEEP_VESSE_LOWER_EXTREMITI	IX Diseases of the circulatory system (I9_)	105	101.0	453628	0	0.0	0.5077	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_PHLEBI_THROMBOP_OTHER_DEEP_VESSE_LOWER_EXTREMITI.FINEMAP.snp.bgz
Phantom limb syndrome with pain	PHANTOMLIMB	VI Diseases of the nervous system (G6_)	81	75.0	240864	0	0.0	0.44678	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_PHANTOMLIMB.FINEMAP.snp.bgz
Dementia due to Parkinson's disease (more control exclusions)	PD_DEMENTIA_EXMORE	Neurological endpoints	643	589.0	199772	0	1.0	0.94973	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_PD_DEMENTIA_EXMORE.FINEMAP.snp.bgz
Secondary parkinsonism (more control exclusions)	PD2ND_EXMORE	Neurological endpoints	855	784.0	199772	0	1.0	0.93291	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_PD2ND_EXMORE.FINEMAP.snp.bgz
Transitory disorders of carbohydrate metabolism specific to fetus and newborn	P16_TRANSITO_DISORD_CARBOH_METABOLISM_SPECIFIC_FETUS_NEWBO	XVI Certain conditions originating in the perinatal period (P16_)	418	342.0	453303	0	0.0	0.89171	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_TRANSITO_DISORD_CARBOH_METABOLISM_SPECIFIC_FETUS_NEWBO.FINEMAP.snp.bgz
Slow fetal growth and fetal malnutrition	P16_SLOW_FETAL_GROWTH_FETAL_MALNUTRITION	XVI Certain conditions originating in the perinatal period (P16_)	181	155.0	452926	0	0.0	0.63712	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_SLOW_FETAL_GROWTH_FETAL_MALNUTRITION.FINEMAP.snp.bgz
Respiratory and cardiovascular disorders specific to the perinatal period	P16_RESPI_CARDIOV_DISORD_SPECIFIC_PERINA_PERIOD	XVI Certain conditions originating in the perinatal period (P16_)	761	631.0	452972	0	1.0	0.9963	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_RESPI_CARDIOV_DISORD_SPECIFIC_PERINA_PERIOD.FINEMAP.snp.bgz
Other infections specific to the perinatal period	P16_OTH_INFECTIONS_SPECIFIC_PERINA_PERIOD	XVI Certain conditions originating in the perinatal period (P16_)	179	147.0	453368	0	0.0	0.63948	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_OTH_INFECTIONS_SPECIFIC_PERINA_PERIOD.FINEMAP.snp.bgz
Other disorders originating in the perinatal period	P16_OTH_DISORD_ORIGINA_PERINA_PERIOD	XVI Certain conditions originating in the perinatal period (P16_)	318	279.0	453415	0	0.0	0.78845	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_OTH_DISORD_ORIGINA_PERINA_PERIOD.FINEMAP.snp.bgz
Infections specific to the perinatal period	P16_INFECTIONS_SPECIFIC_PERINA_PERIOD	XVI Certain conditions originating in the perinatal period (P16_)	365	296.0	453368	0	0.0	0.84037	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_INFECTIONS_SPECIFIC_PERINA_PERIOD.FINEMAP.snp.bgz
Fetus and newborn affected by other complications of labour and delivery	P16_FET_NEWB_OTH_COMPLICATIO_LABOUR_DELIV	XVI Certain conditions originating in the perinatal period (P16_)	73	60.0	453331	0	0.0	0.40929	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_FET_NEWB_OTH_COMPLICATIO_LABOUR_DELIV.FINEMAP.snp.bgz
Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy	P16_FET_NEWB_MATERN_COND_UNREL_PRESENT_PREGNAC	XVI Certain conditions originating in the perinatal period (P16_)	120	100.0	453331	0	0.0	0.53984	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_FET_NEWB_MATERN_COND_UNREL_PRESENT_PREGNAC.FINEMAP.snp.bgz
Fetus and newborn affected by maternal complications of pregnancy	P16_FET_NEWB_MATERN_COMPLICATIO_PREGNAC	XVI Certain conditions originating in the perinatal period (P16_)	173	140.0	453331	0	0.0	0.6377	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_FET_NEWB_MATERN_COMPLICATIO_PREGNAC.FINEMAP.snp.bgz
Fetal death of unspecified cause	P16_FETAL_DEATH_UNSP_CAUSE	XVI Certain conditions originating in the perinatal period (P16_)	53		453415	0		0.36487	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_FETAL_DEATH_UNSP_CAUSE.FINEMAP.snp.bgz
Feeding problems of newborn	P16_FEEDI_PROBL_NEWBO	XVI Certain conditions originating in the perinatal period (P16_)	139	117.0	453415	0	0.0	0.57343	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_FEEDI_PROBL_NEWBO.FINEMAP.snp.bgz
Disorders related to long gestation and high birth weight	P16_DISORD_RELATED_LONG_GESTATION_HIGH_BIRTHWGHTT	XVI Certain conditions originating in the perinatal period (P16_)	79	65.0	452926	0	0.0	0.43088	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_DISORD_RELATED_LONG_GESTATION_HIGH_BIRTHWGHTT.FINEMAP.snp.bgz
Disorders related to short gestation and low birth weight, not elsewhere classified	P16_DISORD_RELATED_GESTATION_LOW_BIRTHWGHTT_NECIFIED	XVI Certain conditions originating in the perinatal period (P16_)	684	573.0	452926	0	0.0	0.99914	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_DISORD_RELATED_GESTATION_LOW_BIRTHWGHTT_NECIFIED.FINEMAP.snp.bgz
Chronic respiratory disease originating in the perinatal period	P16_CHRONIC_RESPI_DISEA_ORIGINA_PERINA_PERIOD	XVI Certain conditions originating in the perinatal period (P16_)	54		452972	0		0.34233	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_CHRONIC_RESPI_DISEA_ORIGINA_PERINA_PERIOD.FINEMAP.snp.bgz
Cardiovascular disorders originating in the perinatal period	P16_CARDIOV_DISORD_ORIGINA_PERINA_PERIOD	XVI Certain conditions originating in the perinatal period (P16_)	111	94.0	452972	0	0.0	0.51397	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_CARDIOV_DISORD_ORIGINA_PERINA_PERIOD.FINEMAP.snp.bgz
Birth trauma	P16_BIRTH_TRAUMA	XVI Certain conditions originating in the perinatal period (P16_)	193	173.0	453540	0	0.0	0.65919	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_BIRTH_TRAUMA.FINEMAP.snp.bgz
Birth asphyxia	P16_BIRTH_ASPHYXIA	XVI Certain conditions originating in the perinatal period (P16_)	157	132.0	452972	0	0.0	0.60978	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_BIRTH_ASPHYXIA.FINEMAP.snp.bgz
Birth injury to peripheral nervous system	P16_BIRTHINJY_PERIP_NERVOUS_SYSTEM	XVI Certain conditions originating in the perinatal period (P16_)	95	85.0	453540	0	0.0	0.47983	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_BIRTHINJY_PERIP_NERVOUS_SYSTEM.FINEMAP.snp.bgz
Bacterial sepsis of newborn	P16_BACTERIAL_SEPSIS_NEWBO	XVI Certain conditions originating in the perinatal period (P16_)	177	142.0	453368	0	0.0	0.64331	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_P16_BACTERIAL_SEPSIS_NEWBO.FINEMAP.snp.bgz
Other drug-induced secondary parkinsonism	OTHER_DRUGADVERS_SECONDA_PARKINSONI	VI Diseases of the nervous system (G6_)	279	253.0	453454	0	0.0	0.7423	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_OTHER_DRUGADVERS_SECONDA_PARKINSONI.FINEMAP.snp.bgz
Drug-induced osteoporosis with pathological fracture	OSTPOPATFRACTURE	Rheuma endpoints	434	388.0	451648	0	0.0	0.86376	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_OSTPOPATFRACTURE.FINEMAP.snp.bgz
Alcohol related diseases, tilastokeskus definition, death only	OFFICIAL_TILASTOKESKUS_DEATH	Alcohol related diseases	2436	2356.0	451297	0	0.0	1.0357	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_OFFICIAL_TILASTOKESKUS_DEATH.FINEMAP.snp.bgz
Twin gestation	O15_TWIN_GEST	XV Pregnancy, childbirth and the puerperium (O15_)	3428	3023.0	200533	0	0.0	1.0264	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_TWIN_GEST.FINEMAP.snp.bgz
Puerperal sepsis	O15_PUERP_SEPSIS	XV Pregnancy, childbirth and the puerperium (O15_)	4724	4342.0	244020	0	1.0	1.0289	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_PUERP_SEPSIS.FINEMAP.snp.bgz
Other puerperal infections	O15_PUERP_INFECT_OTHER	XV Pregnancy, childbirth and the puerperium (O15_)	2833	2507.0	244020	0	0.0	1.0266	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_PUERP_INFECT_OTHER.FINEMAP.snp.bgz
Complications of anaesthesia during the puerperium	O15_PUERP_ANEST_COMPL	XV Pregnancy, childbirth and the puerperium (O15_)	116	102.0	244020	0	0.0	0.53598	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_PUERP_ANEST_COMPL.FINEMAP.snp.bgz
Hydatidiform mole	O15_PREG_HYDAT	XV Pregnancy, childbirth and the puerperium (O15_)	477	425.0	180063	0	0.0	0.88565	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_PREG_HYDAT.FINEMAP.snp.bgz
Complications of anaesthesia during pregnancy	O15_PREG_ANESTH_COMPL	XV Pregnancy, childbirth and the puerperium (O15_)	72	59.0	215354	0	0.0	0.43231	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_PREG_ANESTH_COMPL.FINEMAP.snp.bgz
Pre-eclampsia superimposed on chronic hypertension	O15_PREECLAMPS_CHRONIC_HYPERT	XV Pregnancy, childbirth and the puerperium (O15_)	189	164.0	234147	0	0.0	0.65637	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_PREECLAMPS_CHRONIC_HYPERT.FINEMAP.snp.bgz
Postpartum haemorrhage	O15_POSTPART_HEAMORRH_LB	XV Pregnancy, childbirth and the puerperium (O15_)	10532	9231.0	175886	0	1.0	1.047	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_POSTPART_HEAMORRH_LB.FINEMAP.snp.bgz
Postpartum haemorrhage	O15_POSTPART_HEAMORRH_ALLW	XV Pregnancy, childbirth and the puerperium (O15_)	10532	9231.0	244086	0	1.0	1.0472	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_POSTPART_HEAMORRH_ALLW.FINEMAP.snp.bgz
Postpartum haemorrhage due to anatomy	O15_POSTPART_HAEMORRH_ANATOMY	XV Pregnancy, childbirth and the puerperium (O15_)	3908	3405.0	182510	0	0.0	1.051	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_POSTPART_HAEMORRH_ANATOMY.FINEMAP.snp.bgz
Polyhydramnios	O15_POLYHYDR	XV Pregnancy, childbirth and the puerperium (O15_)	1568	1374.0	200533	0	1.0	1.0263	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_POLYHYDR.FINEMAP.snp.bgz
Premature separation of placenta [abruptio placentae]	O15_PLAC_PREMAT_SEPAR	XV Pregnancy, childbirth and the puerperium (O15_)	776	691.0	200533	0	1.0	0.96935	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_PLAC_PREMAT_SEPAR.FINEMAP.snp.bgz
Placental disorders	O15_PLAC_DISORD	XV Pregnancy, childbirth and the puerperium (O15_)	291	253.0	200533	0	0.0	0.77631	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_PLAC_DISORD.FINEMAP.snp.bgz
Complications specific to multiple gestation	O15_MULTIP_GEST_COMPLIC	XV Pregnancy, childbirth and the puerperium (O15_)	135	117.0	200533	0	0.0	0.58272	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_MULTIP_GEST_COMPLIC.FINEMAP.snp.bgz
Multiple gestation	O15_MULTIP_GEST	XV Pregnancy, childbirth and the puerperium (O15_)	3545	3122.0	200533	0	0.0	1.0265	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_MULTIP_GEST.FINEMAP.snp.bgz
Premature rupture of membranes	O15_MEMBR_PREMAT_RUPT	XV Pregnancy, childbirth and the puerperium (O15_)	9236	8093.0	200533	0	1.0	1.0575	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_MEMBR_PREMAT_RUPT.FINEMAP.snp.bgz
Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and  the puerperium	O15_MATERN_INFECT_ELSEWHERE	XV Pregnancy, childbirth and the puerperium (O15_)	682	612.0	238060	0	0.0	0.94921	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_MATERN_INFECT_ELSEWHERE.FINEMAP.snp.bgz
Unspecified maternal hypertension	O15_MATERN_HYPERT_UNS	XV Pregnancy, childbirth and the puerperium (O15_)	376	323.0	234147	0	0.0	0.7965	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_MATERN_HYPERT_UNS.FINEMAP.snp.bgz
Maternal care for known or suspected disproportion	O15_MATERN_CARE_DISPROP	XV Pregnancy, childbirth and the puerperium (O15_)	1558	1364.0	200533	0	0.0	1.034	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_MATERN_CARE_DISPROP.FINEMAP.snp.bgz
Maternal care for cervical incompetence	O15_MATERN_CARE_CERVICAL_INCOMPETENCE	XV Pregnancy, childbirth and the puerperium (O15_)	1266	1143.0	242837	0	0.0	1.0039	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_MATERN_CARE_CERVICAL_INCOMPETENCE.FINEMAP.snp.bgz
Labour and delivery complicated by umbilical cord complications	O15_LABOUR_UMBILICAL	XV Pregnancy, childbirth and the puerperium (O15_)	1789	1570.0	194563	0	0.0	1.0239	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_LABOUR_UMBILICAL.FINEMAP.snp.bgz
Other complications of labour and delivery, not elsewhere classified	O15_LABOUR_OTHER	XV Pregnancy, childbirth and the puerperium (O15_)	4298	3675.0	194563	0	1.0	1.0476	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_LABOUR_OTHER.FINEMAP.snp.bgz
Other obstructed labour	O15_LABOUR_OBSTR_OTHER	XV Pregnancy, childbirth and the puerperium (O15_)	2733	2471.0	194563	0	0.0	1.0376	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_LABOUR_OBSTR_OTHER.FINEMAP.snp.bgz
Obstructed labour due to malposition and malpresentation of fetus	O15_LABOUR_MALPOS	XV Pregnancy, childbirth and the puerperium (O15_)	9426	8310.0	194563	0	0.0	1.0341	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_LABOUR_MALPOS.FINEMAP.snp.bgz
Long labour	O15_LABOUR_LONG	XV Pregnancy, childbirth and the puerperium (O15_)	10017	8831.0	194563	0	0.0	1.0609	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_LABOUR_LONG.FINEMAP.snp.bgz
Labour and delivery complicated by intrapartum haemorrhage, not elsewhere classified	O15_LABOUR_INTRAPART_HAEMORRH	XV Pregnancy, childbirth and the puerperium (O15_)	1690	1557.0	194563	0	0.0	1.017	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_LABOUR_INTRAPART_HAEMORRH.FINEMAP.snp.bgz
Complications of anaesthesia during labour and delivery	O15_LABOUR_ANEST_COMPLIC	XV Pregnancy, childbirth and the puerperium (O15_)	122	114.0	194563	0	0.0	0.55345	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_LABOUR_ANEST_COMPLIC.FINEMAP.snp.bgz
Haemorrhage in early pregnancy	O15_HAEMORRH_EARLY_PREG	XV Pregnancy, childbirth and the puerperium (O15_)	11728	10528.0	215354	0	2.0	1.047	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_HAEMORRH_EARLY_PREG.FINEMAP.snp.bgz
Eclampsia	O15_ECLAMPSIA	XV Pregnancy, childbirth and the puerperium (O15_)	80	73.0	234147	0	0.0	0.46157	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_ECLAMPSIA.FINEMAP.snp.bgz
Other assisted single delivery	O15_DELIV_OTHER_ASSIST	XV Pregnancy, childbirth and the puerperium (O15_)	550	472.0	108817	0	0.0	0.92671	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_DELIV_OTHER_ASSIST.FINEMAP.snp.bgz
Multiple delivery	O15_DELIV_MULTIP	XV Pregnancy, childbirth and the puerperium (O15_)	2961	2636.0	108817	0	2.0	1.0323	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_DELIV_MULTIP.FINEMAP.snp.bgz
Other abnormal products of conception	O15_CONCEPT_ABNORM	XV Pregnancy, childbirth and the puerperium (O15_)	14864	13163.0	180063	0	1.0	1.0403	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_CONCEPT_ABNORM.FINEMAP.snp.bgz
Complications predominantly related to the puerperium	O15_COMPLIC_PUERP	XV Pregnancy, childbirth and the puerperium (O15_)	10598	9537.0	244020	0	0.0	1.0245	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_COMPLIC_PUERP.FINEMAP.snp.bgz
Other disorders of breast and lactation associated with childbirth	O15_BREAST_LACT_OTHER_DIS	XV Pregnancy, childbirth and the puerperium (O15_)	602	551.0	244020	0	0.0	0.92925	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_BREAST_LACT_OTHER_DIS.FINEMAP.snp.bgz
Infections of breast associated with childbirth	O15_BIRTH_BREAT_INFECT	XV Pregnancy, childbirth and the puerperium (O15_)	1233	1075.0	244020	0	0.0	1.0031	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_BIRTH_BREAT_INFECT.FINEMAP.snp.bgz
Abnormal findings on antenatal screening of mother	O15_ANTENAT_ABNORM	XV Pregnancy, childbirth and the puerperium (O15_)	2863	2419.0	215354	0	3.0	1.0433	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_ANTENAT_ABNORM.FINEMAP.snp.bgz
Other abortion	O15_ABORT_OTHER	XV Pregnancy, childbirth and the puerperium (O15_)	266	238.0	180063	0	0.0	0.75508	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_ABORT_OTHER.FINEMAP.snp.bgz
Failed attempted abortion	O15_ABORT_FAILED	XV Pregnancy, childbirth and the puerperium (O15_)	412	363.0	180063	0	0.0	0.86317	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_O15_ABORT_FAILED.FINEMAP.snp.bgz
Nephropathy induced by other drugs, medicaments and biological substances	NEPHROP_INDUCED_OTHER_DRUGS_MEDICAM_BIOLO_SUBST	XIV Diseases of the genitourinary system (N14_)	51	50.0	453682	0	0.0	0.35725	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_NEPHROP_INDUCED_OTHER_DRUGS_MEDICAM_BIOLO_SUBST.FINEMAP.snp.bgz
Vulvovaginal ulceration/inflammation in other diseases	N14_VULVOVAGINFINOTH	XIV Diseases of the genitourinary system (N14_)	2048	1676.0	226439	0	2.0	1.0245	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_VULVOVAGINFINOTH.FINEMAP.snp.bgz
Vaginitis/vulvovaginitis/vulvitis/abscess of vulva	N14_VAGINITIS	XIV Diseases of the genitourinary system (N14_)	6384	5235.0	226439	0	0.0	1.0357	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_VAGINITIS.FINEMAP.snp.bgz
LSIL lesion of the vagina	N14_VAGINAL_LSIL	XIV Diseases of the genitourinary system (N14_)	435	376.0	254183	0	0.0	0.8583	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_VAGINAL_LSIL.FINEMAP.snp.bgz
HSIL lesion of the vagina	N14_VAGINAL_HSIL	XIV Diseases of the genitourinary system (N14_)	417	372.0	254201	0	0.0	0.84825	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_VAGINAL_HSIL.FINEMAP.snp.bgz
Uterine polyps	N14_UTER_POLYP	XIV Diseases of the genitourinary system (N14_)	3510	3141.0	119468	0	0.0	1.0386	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_UTER_POLYP.FINEMAP.snp.bgz
Unspecified contracted kidney	N14_UNSPECKIDCONTR	XIV Diseases of the genitourinary system (N14_)	171	154.0	449432	0	0.0	0.63288	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_UNSPECKIDCONTR.FINEMAP.snp.bgz
Ulcer of vagina/vulva	N14_ULCERVAGVUL	XIV Diseases of the genitourinary system (N14_)	741	618.0	226439	0	0.0	0.95284	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_ULCERVAGVUL.FINEMAP.snp.bgz
Tubulo-interstitial nephritis, not specified as acute or chronic	N14_TUBULOINTNEPHRNAS	XIV Diseases of the genitourinary system (N14_)	2568	2319.0	406534	0	0.0	1.0179	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_TUBULOINTNEPHRNAS.FINEMAP.snp.bgz
Torsion of testis	N14_TORSIOTEST	XIV Diseases of the genitourinary system (N14_)	686	594.0	141300	0	0.0	0.95249	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_TORSIOTEST.FINEMAP.snp.bgz
Small kidney of unknown cause	N14_SMALLKIDNEY	XIV Diseases of the genitourinary system (N14_)	66	65.0	449432	0	0.0	0.41173	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_SMALLKIDNEY.FINEMAP.snp.bgz
Renal tubulo-interstitial disorders in diseases classified elsewhere	N14_RENALTUBULOINOTH	XIV Diseases of the genitourinary system (N14_)	287	261.0	406534	0	0.0	0.77314	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_RENALTUBULOINOTH.FINEMAP.snp.bgz
Unspecified renal colic	N14_RENALCOLNAS	XIV Diseases of the genitourinary system (N14_)	188	167.0	441039	0	0.0	0.66302	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_RENALCOLNAS.FINEMAP.snp.bgz
Recurrent and persistent haematuria	N14_RECURANDPERHEAMATUR	XIV Diseases of the genitourinary system (N14_)	264	235.0	446969	0	0.0	0.75177	https://storage.googleapis.com/finngen-public-data-r11/finemap/full/finemap/finngen_R11_N14_RECURANDPERHEAMATUR.FINEMAP.snp.bgz
