phenotype	phenocode	category	num_cases	num_cases_prev	num_controls	num_gw_significant	num_gw_significant_prev	lambda
Other disorders starting during childhood or adolescence (more control exclusions)	KRA_PSY_CHILDOTH_EXMORE	Psychiatric endpoints from Katri Räikkönen	1854	1602	330460	1	2	1.0352
Alcohol abuse, main dg (more control exclusions)	KRA_PSY_ALCOH_EXMORE	Psychiatric endpoints from Katri Räikkönen	5974	5327	330460	1	1	1.0765
Ulcerative colitis (strict) with PSC	K11_UC_STRICT_PSC	Gastrointestinal endpoints	261	246	438277	1	1	0.75149
Toxic liver disease	K11_TOXLIV	XI Diseases of the digestive system (K11_)	464	422	440301	1	0	0.87712
Stomatitis and related lesions	K11_STOMATITIS	XI Diseases of the digestive system (K11_)	3065	2711	288472	1	1	1.0186
Colitis, primary sclerosing, strict definition	K11_PSC_COLITIS_STRICT	XI Diseases of the digestive system (K11_)	354	318	451665	1	1	0.82612
Diseases of peritoneum	K11_PERITON	XI Diseases of the digestive system (K11_)	3632	3324	450101	1	0	1.0195
Chronic periodontitis	K11_PERIODON_CHRON	XI Diseases of the digestive system (K11_)	5364	4784	288472	1	1	1.0338
Periodontal disease, other/unspecified	K11_PERIODONTAL_NOS	XI Diseases of the digestive system (K11_)	112	98	335329	1	1	0.53383
Chronic periapical parodontitis	K11_PARODON_PERIAPIC_CHRONIC	XI Diseases of the digestive system (K11_)	8115	7101	288472	1	0	1.0296
Paralytic ileus	K11_PARALIL	XI Diseases of the digestive system (K11_)	1252	1156	360393	1	1	0.99038
Other diseases of peritoneum	K11_OTHPERITON	XI Diseases of the digestive system (K11_)	1500	1387	450101	1	0	1.0076
Other diseases of oesophagus	K11_OTHDISOES	XI Diseases of the digestive system (K11_)	3492	3175	385082	1	1	1.0353
Other diseases of the digestive system	K11_OTHDISDIG	XI Diseases of the digestive system (K11_)	12913	11536	433899	1	3	1.0303
Oral lichen ruber planus	K11_ORAL_LICHEN_PLANUS	XI Diseases of the digestive system (K11_)	697	587	453036	1	1	0.95117
Oral leukoplakia, including avohilmo	K11_ORAL_LEUCOPLACIA_INCLAVO	XI Diseases of the digestive system (K11_)	837	748	452896	1	1	0.97518
Open bite	K11_OPEN_BITE	XI Diseases of the digestive system (K11_)	1728	1449	452005	1	0	1.022
Mandibular retrognathia	K11_MN_RETRGN	XI Diseases of the digestive system (K11_)	2354	1965	451379	1	0	1.0399
Missing teeth due to accident, extraction or parodontitis	K11_MISS_TEETH_ACCID_EXTR_PAROD	XI Diseases of the digestive system (K11_)	4112	3633	288472	1	1	1.0275
Mesial bite	K11_MESIAL_BITE	XI Diseases of the digestive system (K11_)	307	254	453426	1	1	0.78989
Maxillary  hypoplasia	K11_MAXIL_HYPOPL	XI Diseases of the digestive system (K11_)	104	84	453629	1	0	0.49955
Mandibular hypoplasia	K11_MANDIBULAR_HYPOPL	XI Diseases of the digestive system (K11_)	204	183	453529	1	0	0.66432
Other diseases of lip and oral mucosa	K11_LIP_ORAL_MUCOSA	XI Diseases of the digestive system (K11_)	6059	5369	288472	1	2	1.0347
Hypertrophy of tongue papillae	K11_HYPERTROPHY_TONGUE_PAPILLAE	XI Diseases of the digestive system (K11_)	364	314	453369	1	0	0.83007
Gastric ulcer	K11_GULC	XI Diseases of the digestive system (K11_)	7012	6459	385082	1	0	1.0368
Gingivitis and periodontal diseases	K11_GINGIVITIS_PERIODONTAL	XI Diseases of the digestive system (K11_)	118404	97830	288472	1	2	1.0951
Other disorders of gingiva or/and edentulous alveolar ridge	K11_GINGIVA	XI Diseases of the digestive system (K11_)	1659	1441	288472	1	6	1.0178
Femoral hernia	K11_FEMHER	XI Diseases of the digestive system (K11_)	1483	1349	387841	1	0	1.0202
Tooth eruption problems	K11_ERUPTION	XI Diseases of the digestive system (K11_)	5363	4391	448370	1	1	1.0344
Erosion of teeth	K11_EROSION	XI Diseases of the digestive system (K11_)	496	443	105370	1	0	0.89613
Embedded and impacted teeth	K11_EMBIMPACT_TEETH	XI Diseases of the digestive system (K11_)	11211	9229	442522	1	0	1.0628
Disorders of oesophagus in diseases classified elsewhere	K11_DISOESINOTH	XI Diseases of the digestive system (K11_)	620	557	385082	1	1	0.93569
Deep bite	K11_DEEP_BITE	XI Diseases of the digestive system (K11_)	4210	3338	449523	1	0	1.0324
Dentinal caries	K11_CARIES_DENTIN	XI Diseases of the digestive system (K11_)	9446	8392	288472	1	1	1.0386
Excessive attrition of teeth	K11_ATTRITION	XI Diseases of the digestive system (K11_)	18610	14398	105370	1	1	1.0549
Asymmetry of jaw	K11_ASYMMETRY_JAW	XI Diseases of the digestive system (K11_)	505	435	453228	1	0	0.89213
Recurring oral aphthae, including avohilmo	K11_APHTA_RECUR_INCLAVO	XI Diseases of the digestive system (K11_)	4678	3958	449055	1	1	1.0193
Anomalies of dental arch relationship, including avohilmo	K11_ANOMALI_DENTAL_ARCH_RELATIONS1	XI Diseases of the digestive system (K11_)	9227	7404	444506	1	0	1.016
Alcoholic gastritis	K11_ALCGASTR	XI Diseases of the digestive system (K11_)	499	463	385082	1	1	0.88562
Achalasia of cardia	K11_ACHAL	XI Diseases of the digestive system (K11_)	581	540	385082	1	1	0.91624
Abrasion of teeth	K11_ABRASION	XI Diseases of the digestive system (K11_)	10660	8593	105370	1	0	1.0495
Other diseases of the respiratory system	J10_RESPOTHER	X Diseases of the respiratory system (J10_)	7624	6910	446109	1	1	1.0386
Pyothorax	J10_PYOTHORAX	X Diseases of the respiratory system (J10_)	1317	1201	451997	1	0	0.99564
Pulmonary oedema	J10_PULMOEDEMA	X Diseases of the respiratory system (J10_)	572	520	447467	1	0	0.92118
Pulmonary eosinophilia, not elsewhere classified	J10_PULMEOS	X Diseases of the respiratory system (J10_)	378	349	447467	1	0	0.83246
Pleural effusion	J10_PLEUREFFUSION	X Diseases of the respiratory system (J10_)	5468	4869	435242	1	0	1.029
Other diseases of pleura	J10_PLEURA	X Diseases of the respiratory system (J10_)	18491	16728	435242	1	3	1.0408
Suppurative and necrotic conditions of lower respiratory tract	J10_NECROTIC	X Diseases of the respiratory system (J10_)	1736	1583	451997	1	0	1.0085
Pneumoconiosis due to other inorganic dusts	J10_INORGPNEUMOC	X Diseases of the respiratory system (J10_)	122	119	448592	1	0	0.5362
All influenza	J10_INFLUENZA	X Diseases of the respiratory system (J10_)	10134	9204	378292	1	1	1.0314
Acute epiglottitis	J10_EPIGLOTTITIS	X Diseases of the respiratory system (J10_)	497	446	366465	1	2	0.88747
Chronic laryngitis and laryngotracheitis	J10_CHRONLARYNGITIS	X Diseases of the respiratory system (J10_)	5227	4735	337881	1	0	1.0454
Acute bronchiolitis	J10_BRONCHIOLITIS	X Diseases of the respiratory system (J10_)	2533	2197	428311	1	3	1.0112
Bronchiectasis	J10_BRONCHIECTASIS	X Diseases of the respiratory system (J10_)	2597	2372	372627	1	1	1.0301
Pneumoconiosis due to asbestos and other mineral fibres	J10_ASBESTPNEUMOC	X Diseases of the respiratory system (J10_)	721	675	448592	1	1	0.95225
Adult respiratory distress syndrome	J10_ARDS	X Diseases of the respiratory system (J10_)	387	357	447467	1	0	0.84585
Invasive ventilation	INV_VENT	Comorbidities of COPD	2416	2229	447730	1	1	1.0281
Vascular diseases of the intestine	I9_VASCINT	IX Diseases of the circulatory system (I9_)	1179	1061	420324	1	0	0.99756
Varicose veins of other sites	I9_VARICVESOTH	IX Diseases of the circulatory system (I9_)	2290	2060	392860	1	0	1.0286
Embolic stroke	I9_STR_EMBOLIC	IX Diseases of the circulatory system (I9_)	1639	1485	412105	1	2	1.0158
Right bundle-branch block	I9_RBBB	IX Diseases of the circulatory system (I9_)	1186	1046	342690	1	1	0.99612
Portal vein thrombosis	I9_PVT	IX Diseases of the circulatory system (I9_)	440	394	392860	1	1	0.8658
Progressive vascular leukoencephalopathy	I9_PROGVASC	IX Diseases of the circulatory system (I9_)	930	772	412105	1	0	0.99376
Other aneurysm	I9_OTHANEUR	IX Diseases of the circulatory system (I9_)	1800	1649	420324	1	0	1.0177
Non-ischemic cardiomyopathy	I9_NONISCHCARDMYOP	IX Diseases of the circulatory system (I9_)	12164	10839	365977	1	2	1.0456
Secondary hypertension	I9_HYPTENSEC	IX Diseases of the circulatory system (I9_)	3089	2823	231952	1	2	1.0444
Cerebral amyloid angiopathy	I9_CEREBAMY	IX Diseases of the circulatory system (I9_)	101	83	412105	1	1	0.50613
Cardiomyopathy in other diseases	I9_CARDMYOINOTH	IX Diseases of the circulatory system (I9_)	148	138	342690	1	1	0.59249
Cardiac arrest	I9_CARDARR	IX Diseases of the circulatory system (I9_)	2722	2471	231952	1	2	1.0457
Tinnitus	H8_TINNITUS	VIII Diseases of the ear and mastoid process (H8_)	8926	7914	397865	1	1	1.042
Otorrhoea	H8_OTORRHOEA	VIII Diseases of the ear and mastoid process (H8_)	88	81	397865	1	1	0.47027
Abnormalities of ear ossicles	H8_OSSICABN	VIII Diseases of the ear and mastoid process (H8_)	58	52	422407	1	1	0.38694
Ménière disease	H8_MENIERE	VIII Diseases of the ear and mastoid process (H8_)	3312	2977	431119	1	1	1.0498
Chronic mastoiditis	H8_MASTCHRON	VIII Diseases of the ear and mastoid process (H8_)	857	784	422407	1	1	0.96758
Cholesteatoma of external ear	H8_EXT_CHOL	VIII Diseases of the ear and mastoid process (H8_)	211	183	440335	1	1	0.69566
Cellulitis of external ear	H8_EXT_CELLUL	VIII Diseases of the ear and mastoid process (H8_)	373	337	440335	1	1	0.82054
Disorder of external ear, unspecified	H8_EXTDISINOTH	VIII Diseases of the ear and mastoid process (H8_)	991	863	440335	1	1	0.99105
Eustachian salpingitis and obstruction	H8_EUSTSALP	VIII Diseases of the ear and mastoid process (H8_)	3029	2691	422407	1	2	1.0454
Chronic suppurative otitis media	H8_CHRON_SUPOTITIS	VIII Diseases of the ear and mastoid process (H8_)	2469	2262	422407	1	2	1.0313
Cholesteatoma of middle ear	H8_CHOLEASTOMA	VIII Diseases of the ear and mastoid process (H8_)	1710	1548	422407	1	2	1.0222
Xanthelasma of eyelid	H7_XANTHELASMA	VII Diseases of the eye and adnexa (H7_)	277	243	412885	1	1	0.7689
Subjective visual disturbances	H7_VISUDISTURBSUB	VII Diseases of the eye and adnexa (H7_)	9225	8028	432149	1	0	1.0471
Blindness or visual impairment, binocular	H7_VISIMPBILATERAL	VII Diseases of the eye and adnexa (H7_)	139	124	432149	1	0	0.58565
Hyphaema and other vascular disorders of iris and ciliary body	H7_VASCCILIARY	VII Diseases of the eye and adnexa (H7_)	587	502	429396	1	2	0.91663
Separation of retinal layers (serosa)	H7_RETINASEPAR	VII Diseases of the eye and adnexa (H7_)	1320	1181	413784	1	1	1.0046
Other specified and unspecified retinal disorders	H7_RETINANAS	VII Diseases of the eye and adnexa (H7_)	1045	929	413784	1	0	0.99459
Other, unspecified and serous retinal detachments	H7_RETINALDETACHOTH	VII Diseases of the eye and adnexa (H7_)	952	849	413784	1	1	0.97764
Retinal haemorrhage	H7_RETINAHAEMORR	VII Diseases of the eye and adnexa (H7_)	712	616	413784	1	1	0.94547
Other proliferative retinopathy	H7_PROLIFRETINOPATHOTH	VII Diseases of the eye and adnexa (H7_)	140	132	413784	1	1	0.5906
Peripheral retinal degeneration	H7_PERIPHRETINADEGEN	VII Diseases of the eye and adnexa (H7_)	999	888	413784	1	0	0.98473
Other disorders of optic [2nd] nerve and visual pathways	H7_OPTNEUROTH	VII Diseases of the eye and adnexa (H7_)	2038	1839	450415	1	0	1.0201
Disorders of optic nerve, not elsewhere classified	H7_OPTNERVNAS	VII Diseases of the eye and adnexa (H7_)	614	555	450415	1	1	0.92472
Disorders of optic nerve and visual pathways	H7_OPTNERVE	VII Diseases of the eye and adnexa (H7_)	3318	2991	450415	1	1	1.031
Optic atrophy	H7_OPTATROPHY	VII Diseases of the eye and adnexa (H7_)	538	493	450415	1	2	0.90304
Ocular pain	H7_OCUPAIN	VII Diseases of the eye and adnexa (H7_)	2700	2341	448708	1	1	1.0205
Disorders of ocular muscles, binocular movement, accommodation and refraction	H7_OCUMUSCLE	VII Diseases of the eye and adnexa (H7_)	20778	18153	432955	1	1	1.0385
Nystagmus and other irregular eye movements	H7_NYSTAGMUS	VII Diseases of the eye and adnexa (H7_)	437	390	448708	1	0	0.8698
Moderate visual impairment, monocular	H7_MODVISIMPMONOC	VII Diseases of the eye and adnexa (H7_)	121	105	432149	1	0	0.55313
Dislocation of lens	H7_LENSDISLOCATIO	VII Diseases of the eye and adnexa (H7_)	484	443	374263	1	1	0.88132
Other and unspecified disorders of lacrimal system	H7_LACRINAS	VII Diseases of the eye and adnexa (H7_)	60	54	412885	1	0	0.3851
Disorders of lacrimal system	H7_LACRIMALSYSTEM	VII Diseases of the eye and adnexa (H7_)	16875	14748	412885	1	3	1.0375
Keratitis and keratoconjunctivitis in other diseases classified elsewhere	H7_KERATITISINOTH	VII Diseases of the eye and adnexa (H7_)	1173	1049	429396	1	0	0.99378
Intermittent heterotropia	H7_INTERHETEROTRO	VII Diseases of the eye and adnexa (H7_)	2082	1827	432955	1	0	1.0227
Hypermetropia	H7_HYPERMETRO	VII Diseases of the eye and adnexa (H7_)	2338	1979	432955	1	0	1.0229
Primary angle-closure glaucoma	H7_GLAUCCLOSEPRIM	VII Diseases of the eye and adnexa (H7_)	1416	1307	430250	1	0	1.0353
Other disorders of eye and adnexa	H7_EYEOTH	VII Diseases of the eye and adnexa (H7_)	5025	4406	448708	1	3	1.025
Other specified and unspecified disorders of eye and adnexa	H7_EYEADNEXOTH	VII Diseases of the eye and adnexa (H7_)	1266	1139	448708	1	0	1.0009
Epiphora	H7_EPIPHORA	VII Diseases of the eye and adnexa (H7_)	646	576	412885	1	1	0.93854
Other specified and unspecified disorders of lens	H7_DISORDERLENSNAS	VII Diseases of the eye and adnexa (H7_)	262	237	374263	1	1	0.75829
Other corneal oedema	H7_CORNEALOEDEMA	VII Diseases of the eye and adnexa (H7_)	205	185	429396	1	1	0.68248
Convergence insufficiency and excess	H7_CONVERGINSUFF	VII Diseases of the eye and adnexa (H7_)	438	385	432955	1	0	0.82252
Conjunctivitis (acute, non atopic)	H7_CONJUNCTIVITISACUNONATOPIC	VII Diseases of the eye and adnexa (H7_)	11295	9871	413573	1	1	1.0291
Other specified and unspecified disorders of conjunctiva	H7_CONJUNAS	VII Diseases of the eye and adnexa (H7_)	276	238	413573	1	0	0.75047
Chorioretinal inflammation	H7_CHORIORETINFLAM	VII Diseases of the eye and adnexa (H7_)	927	835	413784	1	1	0.97552
Choroidal haemorrhage and rupture	H7_CHORHAEMORRHAGE	VII Diseases of the eye and adnexa (H7_)	98	87	413784	1	0	0.49499
Bullous keratopathy	H7_BULLKERATOPATHY	VII Diseases of the eye and adnexa (H7_)	238	214	429396	1	1	0.72754
Generalized epilepsy	GE	VI Diseases of the nervous system (G6_)	1543	1413	439640	1	1	1.016
Trigeminal neuralgia	G6_TRINEU	VI Diseases of the nervous system (G6_)	1973	1777	395832	1	1	1.007
Lesion of sciatic nerve	G6_SCIALE	VI Diseases of the nervous system (G6_)	1589	1463	395832	1	0	1.02
Postprocedural disorders of nervous system	G6_POSTOPNEURO	VI Diseases of the nervous system (G6_)	2709	2427	420369	1	1	1.0375
Lesion of plantar nerve	G6_PLANTAR	VI Diseases of the nervous system (G6_)	2075	1922	395832	1	1	1.0209
Paraplegia, diplegia of upper limbs	G6_PARDIPLE	VI Diseases of the nervous system (G6_)	712	661	449507	1	2	0.9506
Other neurological diseases	G6_OTHNEU	VI Diseases of the nervous system (G6_)	33364	29983	420369	1	0	1.058
Other demyelinating diseases of the central nervous system	G6_OTHDEMYEL	VI Diseases of the nervous system (G6_)	1272	1149	450592	1	1	1.001
Inflammatory diseases of the central nervous system	G6_NEUINFL	VI Diseases of the nervous system (G6_)	2913	2656	450820	1	0	1.0198
Narcolepsy and cataplexy	G6_NARCOCATA	VI Diseases of the nervous system (G6_)	218	198	341884	1	1	0.69878
Other and unspecified mononeuropathies, also in other diseases	G6_MONOOTHUNS	VI Diseases of the nervous system (G6_)	1005	925	395832	1	1	0.98578
Mitochondrial myopathy	G6_MITOCMY	VI Diseases of the nervous system (G6_)	124	104	449570	1	0	0.54386
Meralgia paraesthetica	G6_MERALGIA	VI Diseases of the nervous system (G6_)	1068	943	395832	1	2	0.99807
Viral meningitis	G6_MENINGVIR	VI Diseases of the nervous system (G6_)	139	118	450820	1	0	0.58453
Other and unspecified hydrocephalus	G6_HCOTHUNS	VI Diseases of the nervous system (G6_)	589	547	451091	1	0	0.91813
Other facial nerve disorders	G6_FACOTH	VI Diseases of the nervous system (G6_)	920	820	395832	1	2	0.97724
Drug-induced myopathy	G6_DRUGMYOP	VI Diseases of the nervous system (G6_)	90	82	449570	1	0	0.4741
Other acute disseminated demyelination	G6_DISSOTH	VI Diseases of the nervous system (G6_)	316	300	450592	1	1	0.80779
Cluster headache, strict, including avohilmo	G6_CLUSTHEADACHE_STRICT_INCLAVO	VI Diseases of the nervous system (G6_)	1633	1427	452100	1	0	1.0249
Benign intracranial hypertension	G6_BENINTRAHYP	VI Diseases of the nervous system (G6_)	317	285	420369	1	1	0.78597
Other and unspecified disorders of autonomic nervous system	G6_AUTOTHUNS	VI Diseases of the nervous system (G6_)	107	84	453037	1	0	0.52098
Autonomic disorders	G6_AUTONOM	VI Diseases of the nervous system (G6_)	696	621	420369	1	1	0.93752
Atypical facial pain	G6_ATYFAC	VI Diseases of the nervous system (G6_)	1687	1508	395832	1	0	1.0137
Frontotemporal dementia	FTD	Neurological endpoints	145	129	432207	1	1	0.57574
Focal epilepsy, strict definition	FE_STRICT	VI Diseases of the nervous system (G6_)	7555	6838	439640	1	0	1.0256
Felty syndrome	FELTY	Rheuma endpoints	169	160	442914	1	4	0.63798
Focal epilepsy	FE	VI Diseases of the nervous system (G6_)	8298	7526	439644	1	0	1.0281
Specific development disorders of speech and language	F5_SPEECH	V Mental and behavioural disorders (F5_)	2103	1826	448872	1	1	1.0192
Mental and behavioural disorders due to use of volatile solvents	F5_SOLVENT	V Mental and behavioural disorders (F5_)	89	81	445828	1	1	0.45665
Mental and behavioural disorders due to sedatives or hypnotics	F5_SEDAHYP	V Mental and behavioural disorders (F5_)	2452	2259	445828	1	1	1.0419
Schizoaffective disorder	F5_SCHIZOAFF	V Mental and behavioural disorders (F5_)	2945	2837	439144	1	1	0.99969
Post-traumatic stress disorder	F5_PTSD	V Mental and behavioural disorders (F5_)	3005	2615	403817	1	0	1.0443
Acute and transient psychotic disorders	F5_PSYTRANS	V Mental and behavioural disorders (F5_)	4724	4464	439144	1	2	1.0392
Disorders of psychological development	F5_PSYCHDEV	V Mental and behavioural disorders (F5_)	4861	4233	448872	1	2	1.029
Unspecified behavioural syndromes associated with physiological disturbances and physical factors +Physiological and behavioural factors associated with disorders of diseases classified elsewhere	F5_PHYSBEHOTH	V Mental and behavioural disorders (F5_)	545	508	440202	1	2	0.91587
Pervasive developmental disorders excl. Autism + Asperger	F5_PERVASIVE	V Mental and behavioural disorders (F5_)	352	310	448872	1	1	0.81506
Persistent mood disorders	F5_PERSMOOD	V Mental and behavioural disorders (F5_)	8142	7361	394756	1	1	1.0606
Other specified and unspecified personality disorders	F5_OTHPER	V Mental and behavioural disorders (F5_)	3504	3234	441041	1	1	1.0542
Other neurotic disorders	F5_NEUROTICOTH	V Mental and behavioural disorders (F5_)	1744	1634	403817	1	1	1.0193
Other and unspecified mood [affective] disorders	F5_MOODOTH	V Mental and behavioural disorders (F5_)	2735	2425	394756	1	0	1.0427
Moderate mental retardation	F5_MODRET	V Mental and behavioural disorders (F5_)	201	190	452317	1	1	0.65659
Mixed and other personality disorders	F5_MIXPER	V Mental and behavioural disorders (F5_)	3054	2817	441041	1	0	1.0468
Mixed specific developmental disorders	F5_MIXEDDEV	V Mental and behavioural disorders (F5_)	724	654	448872	1	0	0.98234
Kela-code for behavioural disturbances in mental retardation	F5_KELARET	V Mental and behavioural disorders (F5_)	262	248	452317	1	0	0.71957
Kela-code for severe mental illness	F5_KELAMENT	V Mental and behavioural disorders (F5_)	17319	16578	434312	1	2	1.0715
Insomnia	F5_INSOMNIA	V Mental and behavioural disorders (F5_)	5763	4801	445483	1	2	1.0419
Hypersomnia	F5_HYPERSOMNIA	V Mental and behavioural disorders (F5_)	457	407	445483	1	1	0.86924
Other eating disorders	F5_EATOTH	V Mental and behavioural disorders (F5_)	1941	1716	440202	1	0	1.0236
Dissociative [conversion] disorders	F5_DISSOCIATIVE	V Mental and behavioural disorders (F5_)	1384	1250	403817	1	1	1.0018
Dementia in other diseases classified elsewhere	F5_DEMINOTH	V Mental and behavioural disorders (F5_)	1383	1268	428053	1	1	1.0088
Behavioural syndromes associated with physiological disturbances and physical factors	F5_BEHAVE	V Mental and behavioural disorders (F5_)	13531	11671	440202	1	0	1.043
Anxious personality disorder	F5_ANXPER	V Mental and behavioural disorders (F5_)	663	602	441041	1	1	0.93753
Acute alcohol intoxication	F5_ALCOHOLAC	V Mental and behavioural disorders (F5_)	10858	9884	424985	1	3	1.0996
Enteropathogenic Escherichia coli infection	ENTEROPATH_E_COLI	I Certain infectious and parasitic diseases (AB1_)	84	72	446913	1	1	0.4637
Deficiency of other B group vitamins	E4_VIT_B_DEF	IV Endocrine, nutritional and metabolic diseases (E4_)	695	652	424573	1	1	0.95212
Thyrotoxicosis with toxic single thyroid nodule	E4_THYTOXNOD	IV Endocrine, nutritional and metabolic diseases (E4_)	273	246	443932	1	3	0.76963
Precocious central puberty	E4_PRECOXCENTPUB	IV Endocrine, nutritional and metabolic diseases (E4_)	202	185	434894	1	1	0.68843
Disorders of pituitary gland, other and/or unspecified	E4_PITUDISNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	175	161	434894	1	0	0.64325
Disorders of phosphorus metabolism and phosphatases	E4_PHOS_MET	IV Endocrine, nutritional and metabolic diseases (E4_)	142	128	384093	1	0	0.58345
Primary ovarian failure	E4_OVARFAIL	IV Endocrine, nutritional and metabolic diseases (E4_)	599	542	241998	1	1	0.93184
Ovarian dysfunction, other/unspecified	E4_OVARDYSNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	172	140	241998	1	1	0.64634
Extreme obesity with alveolar hypoventilation	E4_OBESITYXTRMALV	IV Endocrine, nutritional and metabolic diseases (E4_)	1289	1177	426022	1	1	1.0177
Disorder of mineral metabolism, other/unspecified	E4_MINERAL_METNAS	IV Endocrine, nutritional and metabolic diseases (E4_)	70	67	384093	1	1	0.4277
Hypopituitarism	E4_HYPOPIT	IV Endocrine, nutritional and metabolic diseases (E4_)	2355	2114	434894	1	1	1.0169
Hypoparathyroidism	E4_HYPOPARA	IV Endocrine, nutritional and metabolic diseases (E4_)	1092	1032	434894	1	1	0.98496
Drug-induced hypoglycaemia without coma	E4_HYPODRUG	IV Endocrine, nutritional and metabolic diseases (E4_)	530	477	450646	1	1	0.90098
Nondiabetic hypoglycaemic coma	E4_HYPOCOMA	IV Endocrine, nutritional and metabolic diseases (E4_)	134	130	450646	1	3	0.57521
Pure hyperglyceridaemia	E4_HYPERGLYCER	IV Endocrine, nutritional and metabolic diseases (E4_)	707	629	384093	1	1	0.95007
Diabetes insipidus	E4_DIABINSIPIDUS	IV Endocrine, nutritional and metabolic diseases (E4_)	278	252	434894	1	0	0.77018
Disorder of carbohydrate metabolism, other/unspecified	E4_CARBONAS	IV Endocrine, nutritional and metabolic diseases (E4_)	107	100	384093	1	0	0.51469
Syndrome of inappropriate secretion of antidiuretic hormone	E4_ANTIDIU	IV Endocrine, nutritional and metabolic diseases (E4_)	149	133	434894	1	1	0.59528
Secondary systemic amyloidosis	E4_AMYL_SCNDSYST	IV Endocrine, nutritional and metabolic diseases (E4_)	96	91	384093	1	0	0.4887
Disorders of amino-acid transport	E4_AMINOTRANSPORT	IV Endocrine, nutritional and metabolic diseases (E4_)	53		384093	1		0.35131
Other disorders of amino-acid metabolism	E4_AMINO	IV Endocrine, nutritional and metabolic diseases (E4_)	152	141	384093	1	1	0.59695
Adrenogenital disorders	E4_ADRENOGEN	IV Endocrine, nutritional and metabolic diseases (E4_)	138	131	434894	1	1	0.59135
Other adrenocortical overactivity	E4_ADREACT	IV Endocrine, nutritional and metabolic diseases (E4_)	181	165	434894	1	0	0.66203
Diabetic nephropathy	DM_NEPHROPATHY	Diabetes endpoints	5042		79344	1		1.043
TMD related pain	DENTAL_TMD	Dental endpoints	1127	11592	452606	1	0	0.99713
Diseases of spleen	D3_SPLEENDISEASE	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	526	450	445490	1	1	0.90165
Other primary thrombocytopenia	D3_OTHPRIMTHROMBOCYTOPENIA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	116	105	446531	1	1	0.5465
Kela reimbursement Agammaglobulinemia (D80-84)	D3_KELA_IMMUDEF	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	246	233	446523	1	0	0.72687
Idiopathic thrombocytopenic purpura	D3_ITP	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	968	882	446531	1	1	0.98092
Other and unspecified immunodeficiencies with predominantly antibody defects	D3_IMMUDEFANTIBODYNAS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	388	357	446523	1	0	0.84861
Immunodeficiency with predominantly antibody defects	D3_IMMUDEFANTIBODY	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	830	767	446523	1	1	0.9768
Hereditary hypogammaglobulinemia	D3_HEREDHYPOGAMMA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	110	105	446523	1	1	0.51984
Haemolytic anaemias	D3_HAEMOLYTICANAEMIA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	1015	911	452718	1	2	0.99241
Selective deficiency of immunoglobulin G [IgG] subclasses	D3_DEF_IGG	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	213	200	446523	1	2	0.69516
Defects in the complement system	D3_COMPLEMENTDEF	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	207	186	446523	1	0	0.69273
Allergic purpura	D3_ALLERGPURPURA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	1031	939	446531	1	1	0.98621
Other and unspecified acquired haemolytic anaemias	D3_ACQHAEMOLYTICANAEMIANAS	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	284	263	452718	1	1	0.76814
Acquired haemolytic anaemia	D3_ACQHAEMOLYTICANAEMIA	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	733	654	452718	1	3	0.95432
COPD related to chronic (opportunist) infections	COPD_OPPORTUNIST_INFECTIONS	COPD and related endpoints	702	649	433110	1	0	0.95224
Cytomegaloviral hepatitis	CMV_HEPATITIS	I Certain infectious and parasitic diseases (AB1_)	81	72	453075	1	1	0.45243
Chronic myeloid leukaemia [CML], BCR/ABL-positive	CML	Other, not yet classified endpoints (same as #MISC)	289	258	451215	1	0	0.76935
Biliary cirrhosis, NAS	CHIRBIL_NAS	Gastrointestinal endpoints	84	78	453649	1	0	0.46007
Charcot foot	CHARCOT	Comorbidities of Diabetes	537	503	328079	1	1	0.91197
Melanoma of uvea (controls excluding all cancers)	CD2_UVEAMELANOMA_EXALLC	II Neoplasms from hospital discharges (CD2_)	293	262	345118	1	1	0.77908
Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue (controls excluding all cancers)	CD2_PRIMARY_LYMPHOID_HEMATOPOIETIC_NAS_EXALLC	II Neoplasms from hospital discharges (CD2_)	281	261	345118	1	0	0.76283
